# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   71       2.539438858687e-10       4.576874694867e-14      -8.275549986087e-13       0.000000000000e+00       2.359735329946e-11       2.870697740293e-12      -9.884370595209e-15 
   72       2.572573279091e-10       4.756707703688e-14      -8.895308210161e-13       0.000000000000e+00       2.282230149477e-11       2.791541264366e-12      -9.693793045909e-15 
   73       2.606029064170e-10       4.939337392609e-14      -9.530862694099e-13       0.000000000000e+00       2.208247921746e-11       2.715624720939e-12      -9.507394796440e-15 
   74       2.639800854405e-10       5.124673134909e-14      -1.018193946433e-12       0.000000000000e+00       2.137513896199e-11       2.642727116928e-12      -9.326264206134e-15 
   75       2.673877712510e-10       5.312620366896e-14      -1.084824666809e-12       0.000000000000e+00       2.069670757730e-11       2.572549964474e-12      -9.151489452199e-15 
   76       2.708248787933e-10       5.503074998498e-14      -1.152946824827e-12       0.000000000000e+00       2.004367310586e-11       2.504796818091e-12      -8.984146780193e-15 
   77       2.742922153050e-10       5.695905460166e-14      -1.222524349336e-12       0.000000000000e+00       1.941551018842e-11       2.439436142548e-12      -8.825267111284e-15 
   78       2.777908883447e-10       5.890967373630e-14      -1.293518385846e-12       0.000000000000e+00       1.881222634053e-11       2.376480429110e-12      -8.675859759070e-15 
   79       2.813217234877e-10       6.088108745360e-14      -1.365887895896e-12       0.000000000000e+00       1.823347087721e-11       2.315905842670e-12      -8.536919555948e-15 
   80       2.848852471324e-10       6.287169855561e-14      -1.439589650414e-12       0.000000000000e+00       1.767851845433e-11       2.257650524219e-12      -8.409424693790e-15 
   81       2.884816693076e-10       6.487983147175e-14      -1.514578223084e-12       0.000000000000e+00       1.714625260990e-11       2.201612893327e-12      -8.294334564608e-15 
   82       2.921108664794e-10       6.690373114877e-14      -1.590805983700e-12       0.000000000000e+00       1.663514930540e-11       2.147649950613e-12      -8.192587601231e-15 
   83       2.957723643577e-10       6.894156194075e-14      -1.668223091533e-12       0.000000000000e+00       1.614326046712e-11       2.095575580219e-12      -8.105099117977e-15 
   84       2.994656293108e-10       7.099147476998e-14      -1.746778332550e-12       0.000000000000e+00       1.566868739282e-11       2.045207385901e-12      -8.032351063289e-15 
   85       3.031910357743e-10       7.305182383353e-14      -1.826421805075e-12       0.000000000000e+00       1.521112719697e-11       1.996519838831e-12      -7.973087865245e-15 
   86       3.069490284413e-10       7.512098395394e-14      -1.907102669251e-12       0.000000000000e+00       1.477055374917e-11       1.949513524172e-12      -7.925399420617e-15 
   87       3.107398160847e-10       7.719728553929e-14      -1.988768350205e-12       0.000000000000e+00       1.434674249844e-11       1.904167995969e-12      -7.887101075114e-15 
   88       3.145633595510e-10       7.927901462070e-14      -2.071364545589e-12       0.000000000000e+00       1.393926224756e-11       1.860440895316e-12      -7.855724605440e-15 
   89       3.184193597537e-10       8.136441288962e-14      -2.154835233127e-12       0.000000000000e+00       1.354746692744e-11       1.818267068518e-12      -7.828509201337e-15 
   90       3.223072456674e-10       8.345167773532e-14      -2.239122678157e-12       0.000000000000e+00       1.317048737145e-11       1.777557685263e-12      -7.802392447640e-15 
   91       3.262261623209e-10       8.553896228224e-14      -2.324167441177e-12       0.000000000000e+00       1.280722308976e-11       1.738199356781e-12      -7.774001306322e-15 
   92       3.301749587910e-10       8.762437542737e-14      -2.409908385388e-12       0.000000000000e+00       1.245633404377e-11       1.700053254013e-12      -7.739643098545e-15 
   93       3.341525393772e-10       8.970600999175e-14      -2.496283406905e-12       0.000000000000e+00       1.211655859273e-11       1.662989209270e-12      -7.696147275788e-15 
   94       3.381590036221e-10       9.178203193676e-14      -2.583231734628e-12       0.000000000000e+00       1.178773990089e-11       1.626995803553e-12      -7.643555141429e-15 
   95       3.421946563493e-10       9.385060469753e-14      -2.670691991827e-12       0.000000000000e+00       1.146993941198e-11       1.592085282991e-12      -7.582819872512e-15 
   96       3.462596528326e-10       9.590986268210e-14      -2.758601521532e-12       0.000000000000e+00       1.116312073360e-11       1.558259654380e-12      -7.514994400509e-15 
   97       3.503539917748e-10       9.795791169477e-14      -2.846896403994e-12       0.000000000000e+00       1.086714588888e-11       1.525510283562e-12      -7.441234072014e-15 
   98       3.544775082872e-10       9.999282935937e-14      -2.935511474147e-12       0.000000000000e+00       1.058177156813e-11       1.493817493803e-12      -7.362799309430e-15 
   99       3.586298668676e-10       1.020126655426e-13      -3.024380339078e-12       0.000000000000e+00       1.030664538055e-11       1.463150164172e-12      -7.281058271666e-15 
  100       3.628105543800e-10       1.040154427774e-13      -3.113435395486e-12       0.000000000000e+00       1.004130210586e-11       1.433465327917e-12      -7.197489514825e-15 
  101       3.670188730333e-10       1.059991566861e-13      -3.202607847151e-12       0.000000000000e+00       9.785159945996e-12       1.404707770845e-12      -7.113684652897e-15 
  102       3.712539333600e-10       1.079617764038e-13      -3.291827722393e-12       0.000000000000e+00       9.537516776754e-12       1.376809629699e-12      -7.031351018451e-15 
  103       3.755146471954e-10       1.099012450021e-13      -3.381023891540e-12       0.000000000000e+00       9.297546399480e-12       1.349689990537e-12      -6.952314323323e-15 
  104       3.797999570780e-10       1.118155310098e-13      -3.470124677781e-12       0.000000000000e+00       9.064485857982e-12       1.323274016895e-12      -6.878129029326e-15 
  105       3.841095748645e-10       1.137027899937e-13      -3.559059746111e-12       0.000000000000e+00       8.838234280613e-12       1.297554142086e-12      -6.808843786652e-15 
  106       3.884433302661e-10       1.155612256959e-13      -3.647758503297e-12       0.000000000000e+00       8.618828321653e-12       1.272536432834e-12      -6.744073408116e-15 
  107       3.928009389674e-10       1.173890418579e-13      -3.736149550977e-12       0.000000000000e+00       8.406256691029e-12       1.248221612893e-12      -6.683374636415e-15 
  108       3.971819982029e-10       1.191844432056e-13      -3.824160709637e-12       0.000000000000e+00       8.200458505600e-12       1.224604876042e-12      -6.626244493951e-15 
  109       4.015859823345e-10       1.209456364338e-13      -3.911719042602e-12       0.000000000000e+00       8.001321640445e-12       1.201675699070e-12      -6.572118632635e-15 
  110       4.060122384283e-10       1.226708311911e-13      -3.998750880017e-12       0.000000000000e+00       7.808681080152e-12       1.179417654774e-12      -6.520369683704e-15 
  111       4.104599818311e-10       1.243582410649e-13      -4.085181842833e-12       0.000000000000e+00       7.622317270102e-12       1.157808224946e-12      -6.470305607533e-15 
  112       4.149282917481e-10       1.260060845662e-13      -4.170936866795e-12       0.000000000000e+00       7.441954467758e-12       1.136818613365e-12      -6.421168043449e-15 
  113       4.194161068196e-10       1.276125861143e-13      -4.255940226421e-12       0.000000000000e+00       7.267259093952e-12       1.116413558791e-12      -6.372130659541e-15 
  114       4.239222206975e-10       1.291759770216e-13      -4.340115558992e-12       0.000000000000e+00       7.097838084170e-12       1.096551147951e-12      -6.322297502472e-15 
  115       4.284452776230e-10       1.306944964788e-13      -4.423385888537e-12       0.000000000000e+00       6.933237239843e-12       1.077182628534e-12      -6.270701347296e-15 
