# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.488376698540e-03      -2.349486543505e-01      -1.950347654684e+01      -1.950571711594e+01      -2.255779489218e-01      -1.884298947703e+01      -1.949753763132e+01       4.640343693156e-01       4.640362517426e-01 
       1.578812731533e-03      -2.495361778161e-01      -2.190587525634e+01      -2.190840703949e+01      -2.358929694572e-01      -2.108553231874e+01      -2.189886392465e+01       4.631853824999e-01       4.631865778455e-01 
       1.672245416184e-03      -2.802438824235e-01      -2.452823698970e+01      -2.453108456891e+01      -2.637611099059e-01      -2.351678673649e+01      -2.451998316077e+01       4.622888077256e-01       4.622893758502e-01 
       1.768472110102e-03      -2.898992753027e-01      -2.737693062258e+01      -2.738012363804e+01      -2.725605310302e-01      -2.613919081376e+01      -2.736723997268e+01       4.613460400340e-01       4.613463361833e-01 
       1.867288604350e-03      -2.557233349654e-01      -3.045719041856e+01      -3.046076526348e+01      -2.403051146900e-01      -2.895400410285e+01      -3.044584955560e+01       4.603588982060e-01       4.603593045120e-01 
       1.968493899128e-03      -1.894394974066e-01      -3.377318327274e+01      -3.377718448152e+01      -1.790214903416e-01      -3.196143294756e+01      -3.375996992382e+01       4.593295656602e-01       4.593302328137e-01 
       2.071893882655e-03      -1.301645957555e-01      -3.732810272164e+01      -3.733258381900e+01      -1.265170078224e-01      -3.516077472236e+01      -3.731279377975e+01       4.582605224112e-01       4.582613101747e-01 
       2.177303965780e-03      -1.120912703266e-01      -4.112426917501e+01      -4.112929277327e+01      -1.138962119152e-01      -3.855055763525e+01      -4.110664007615e+01       4.571543223996e-01       4.571549665891e-01 
       2.284550794963e-03      -1.339186653827e-01      -4.516323213008e+01      -4.516886909478e+01      -1.366458305252e-01      -4.212867041387e+01      -4.514304794405e+01       4.560134173901e-01       4.560137680845e-01 
       2.393473200280e-03      -1.596515771116e-01      -4.944587418551e+01      -4.945220227983e+01      -1.579353343237e-01      -4.589248127542e+01      -4.942288071272e+01       4.548401700967e-01       4.548402984278e-01 
       2.503922541899e-03      -1.528206868006e-01      -5.397250084309e+01      -5.397960303757e+01      -1.438026241926e-01      -4.983893138551e+01      -5.394642415938e+01       4.536368886822e-01       4.536369892105e-01 
       2.615762607533e-03      -1.121970250029e-01      -5.874292514742e+01      -5.875088751978e+01      -9.690973929411e-02      -5.396461237114e+01      -5.871347963047e+01       4.524058967034e-01       4.524060982851e-01 
       2.728869192953e-03      -7.245342712479e-02      -6.375654820845e+01      -6.376545839501e+01      -5.388816115290e-02      -5.826583276845e+01      -6.372344484497e+01       4.511495494148e-01       4.511498170015e-01 
       2.843129473661e-03      -6.735934890317e-02      -6.901241861894e+01      -6.902236441845e+01      -4.725376088084e-02      -6.273865837223e+01      -6.897536392530e+01       4.498700743234e-01       4.498702789115e-01 
       2.958441252205e-03      -9.316175734687e-02      -7.450929593016e+01      -7.452036542744e+01      -7.109321243324e-02      -6.737895409814e+01      -7.446798295609e+01       4.485695395687e-01       4.485696055911e-01 
       3.074712144456e-03      -1.118667473719e-01      -8.024569019870e+01      -8.025797193446e+01      -8.772665251287e-02      -7.218240267868e+01      -8.019979056837e+01       4.472497949461e-01       4.472497710185e-01 
       3.191858750442e-03      -9.224822744924e-02      -8.621991083645e+01      -8.623349584150e+01      -6.980126775996e-02      -7.714453550063e+01      -8.616907872345e+01       4.459125992476e-01       4.459126290224e-01 
       3.309805841129e-03      -4.424008828823e-02      -9.243009733901e+01      -9.244508092336e+01      -5.907745128193e-02      -8.226135610044e+01      -9.237398652834e+01       4.445596650366e-01       4.445598287590e-01 
       3.428485581606e-03      -8.111781316401e-03      -9.887425221475e+01      -9.889073673407e+01      -1.129253491536e-01      -8.752828920747e+01      -9.881252298272e+01       4.431926315368e-01       4.431928345291e-01 
       3.547836802981e-03      -9.817433073244e-03      -1.055502549267e+02      -1.055683525386e+02      -2.073730689750e-01      -9.294039963516e+01      -1.054825663274e+02       4.418129371528e-01       4.418130800488e-01 
       3.667804329409e-03      -3.272330701081e-02      -1.124559039542e+02      -1.124757382738e+02      -2.784968624796e-01      -9.849358592940e+01      -1.123819087414e+02       4.404219290588e-01       4.404220050302e-01 
       3.788338362565e-03      -3.800930289034e-02      -1.195889114578e+02      -1.196106193903e+02      -2.901362898812e-01      -1.041837993282e+02      -1.195082566597e+02       4.390207941241e-01       4.390208702642e-01 
       3.909393923088e-03      -1.009768436821e-02      -1.269469424262e+02      -1.269706741441e+02      -2.628080412068e-01      -1.100070626645e+02      -1.268592784311e+02       4.376107022324e-01       4.376108370319e-01 
       4.030930346750e-03       2.592072692636e-02      -1.345276034222e+02      -1.345535219155e+02      -2.463821864054e-01      -1.159594508097e+02      -1.344325934896e+02       4.361927247168e-01       4.361929091824e-01 
       4.152910832013e-03       3.515535428260e-02      -1.423284791350e+02      -1.423567589653e+02      -2.688434414957e-01      -1.220371143990e+02      -1.422257987265e+02       4.347678950996e-01       4.347680720054e-01 
       4.275302035112e-03       1.500648637137e-02      -1.503471206671e+02      -1.503779452393e+02      -3.117812491722e-01      -1.282362615718e+02      -1.502364462708e+02       4.333371076623e-01       4.333372381938e-01 
       4.398073708526e-03      -2.244958836281e-03      -1.585810725008e+02      -1.586146332610e+02      -3.347178010173e-01      -1.345531763526e+02      -1.584620735308e+02       4.319011942669e-01       4.319012956531e-01 
       4.521198378752e-03       1.035698877976e-02      -1.670278467772e+02      -1.670643402820e+02      -3.205590210230e-01      -1.409841879022e+02      -1.669001862651e+02       4.304608669737e-01       4.304609843075e-01 
       4.644651059426e-03       4.034263032429e-02      -1.756849787823e+02      -1.757246060981e+02      -2.930205592442e-01      -1.475257109829e+02      -1.755483232316e+02       4.290168879176e-01       4.290170389292e-01 
       4.768408996077e-03       1.919608178463e-01      -1.845499493620e+02      -1.845929158200e+02       1.958045071239e-01      -1.541741744472e+02      -1.844039108457e+02       4.275698094624e-01       4.275697856858e-01 
       4.892451439082e-03       1.913205576061e-01      -1.936202351918e+02      -1.936667504205e+02       1.951512371520e-01      -1.609260193120e+02      -1.934645490354e+02       4.261202405618e-01       4.261202202406e-01 
       5.016759441706e-03       1.906785586381e-01      -2.028934807963e+02      -2.029437607966e+02       1.944962111923e-01      -1.677778903229e+02      -2.027278182247e+02       4.246689686275e-01       4.246689512174e-01 
       5.141315680392e-03       1.900350836912e-01      -2.123671549186e+02      -2.124214244746e+02       1.938396956381e-01      -1.747262849599e+02      -2.121911908383e+02       4.232163788769e-01       4.232163639252e-01 
       5.266104294767e-03       1.893909709906e-01      -2.220387186613e+02      -2.220972129748e+02       1.931825331423e-01      -1.817676837166e+02      -2.218521329914e+02       4.217628111376e-01       4.217627982674e-01 
       5.391110745116e-03       1.887463302015e-01      -2.319058039807e+02      -2.319687717053e+02       1.925248386054e-01      -1.888986983894e+02      -2.317082839793e+02       4.203088880139e-01       4.203088769105e-01 
       5.516321685304e-03       1.881015481405e-01      -2.419658350275e+02      -2.420335387725e+02       1.918670010284e-01      -1.961157352533e+02      -2.417570757769e+02       4.188547856798e-01       4.188547760791e-01 
       5.641724849364e-03       1.874569167601e-01      -2.522164040035e+02      -2.522891223145e+02       1.912093165133e-01      -2.034153011851e+02      -2.519961097292e+02       4.174009471065e-01       4.174009387870e-01 
       5.767308950195e-03       1.868124906234e-01      -2.626550255771e+02      -2.627330529514e+02       1.905518417961e-01      -2.107937966567e+02      -2.624229095514e+02       4.159476294322e-01       4.159476222071e-01 
       5.893063588960e-03       1.861684456557e-01      -2.732792888158e+02      -2.733629344283e+02       1.898947558447e-01      -2.182476338268e+02      -2.730350719907e+02       4.144951660682e-01       4.144951597801e-01 
       6.018979173974e-03       1.855248498940e-01      -2.840867840966e+02      -2.841763705385e+02       1.892381291294e-01      -2.257731824152e+02      -2.838301938505e+02       4.130438410277e-01       4.130438355434e-01 
       6.145046848005e-03       1.848818029376e-01      -2.950750876732e+02      -2.951709507992e+02       1.885820632398e-01      -2.333667631929e+02      -2.948058575311e+02       4.115938747157e-01       4.115938699223e-01 
       6.271258423022e-03       1.842395686424e-01      -3.062418253642e+02      -3.063443102048e+02       1.879268245755e-01      -2.410247052643e+02      -3.059596913717e+02       4.101455141567e-01       4.101455099584e-01 
       6.397606321579e-03       1.835980556229e-01      -3.175846560947e+02      -3.176941148176e+02       1.872723235800e-01      -2.487433572496e+02      -3.172893550395e+02       4.086990063930e-01       4.086990027082e-01 
       6.524083524066e-03       1.829575008538e-01      -3.291011615369e+02      -3.292179562625e+02       1.866187986365e-01      -2.565190055887e+02      -3.287924333969e+02       4.072544644285e-01       4.072544611877e-01 
       6.650683521208e-03       1.823178822845e-01      -3.407890493121e+02      -3.409135495406e+02       1.859662295925e-01      -2.643480602904e+02      -3.404666350547e+02       4.058121267372e-01       4.058121238811e-01 
       6.777400271221e-03       1.816792985594e-01      -3.526459804896e+02      -3.527785645199e+02       1.853147164781e-01      -2.722269301169e+02      -3.523096234759e+02       4.043721388800e-01       4.043721363576e-01 
       6.904228161122e-03       1.810418073075e-01      -3.646696141227e+02      -3.648106713518e+02       1.846643179939e-01      -2.801520762018e+02      -3.643190622790e+02       4.029346184436e-01       4.029346162114e-01 
       7.031161971749e-03       1.804055093730e-01      -3.768577217333e+02      -3.770076526254e+02       1.840151369108e-01      -2.881201102150e+02      -3.764927276666e+02       4.014997786140e-01       4.014997766346e-01 
       7.158196846100e-03       1.797704329551e-01      -3.892079952447e+02      -3.893672130898e+02       1.833672022487e-01      -2.961276567228e+02      -3.888283181504e+02       4.000677145252e-01       4.000677127664e-01 
