# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.690623596818e-02       1.263535414700e+04 
       4.722366632486e-02       1.256036258422e+04 
       4.754998031602e-02       1.248500694756e+04 
       4.788583246426e-02       1.240910541755e+04 
       4.823194743802e-02       1.233273510059e+04 
       4.858913003206e-02       1.225578753383e+04 
       4.895827691635e-02       1.217828197558e+04 
       4.934039052690e-02       1.210004821319e+04 
       4.973659556256e-02       1.202111376473e+04 
       5.014815866658e-02       1.194133781149e+04 
       5.057651201847e-02       1.186063638800e+04 
       5.102328174780e-02       1.177898526117e+04 
       5.149032231931e-02       1.169621351905e+04 
       5.197975834148e-02       1.161213256192e+04 
       5.249403563324e-02       1.152672282942e+04 
       5.303598386421e-02       1.143969955052e+04 
       5.360889367580e-02       1.135088414121e+04 
       5.421661189762e-02       1.126002684579e+04 
       5.486365927195e-02       1.116675809264e+04 
       5.555537589743e-02       1.107075624440e+04 
       5.629810017546e-02       1.097147163200e+04 
       5.709938688124e-02       1.086825954133e+04 
       5.796826803727e-02       1.076040111393e+04 
       5.891555447941e-02       1.064678982135e+04 
       5.995416254475e-02       1.052599967671e+04 
       6.109942257045e-02       1.039619188463e+04 
       6.236927384520e-02       1.025491320172e+04 
       6.378416297505e-02       1.009883945395e+04 
       6.536633806560e-02       9.923600884240e+03 
       6.713811106309e-02       9.723744331562e+03 
       6.911868813501e-02       9.492883057489e+03 
       7.131961804625e-02       9.224445618880e+03 
       7.373998924807e-02       8.913371515193e+03 
       7.636375409540e-02       8.558269721432e+03 
       7.916148847583e-02       8.163426842479e+03 
       8.209649482124e-02       7.739341585743e+03 
       8.513222505943e-02       7.301329846229e+03 
       8.823761364771e-02       6.866755019315e+03 
       9.138909092609e-02       6.452199467971e+03 
       9.457013428566e-02       6.071179016473e+03 
       9.776975946816e-02       5.732962219095e+03 
       1.009809112735e-01       5.442200882349e+03 
       1.041991559203e-01       5.199253896176e+03 
       1.074217446051e-01       5.001110487440e+03 
       1.106469872850e-01       4.841673140939e+03 
       1.138738500777e-01       4.713201376259e+03 
       1.171017023624e-01       4.606877448239e+03 
       1.203301601051e-01       4.513615524162e+03 
       1.235589895985e-01       4.424864372229e+03 
       1.267880486173e-01       4.333345015439e+03 
       1.300172505535e-01       4.233602632970e+03 
       1.332465425965e-01       4.122444505522e+03 
       1.364758924728e-01       3.999023825031e+03 
       1.397052803911e-01       3.864677612309e+03 
       1.429346941519e-01       3.722482224674e+03 
       1.461641261778e-01       3.576637927662e+03 
       1.493935717096e-01       3.431810812308e+03 
       1.526230277113e-01       3.292507401589e+03 
       1.558524922040e-01       3.162571478118e+03 
       1.590819638607e-01       3.044880035317e+03 
       1.623114417597e-01       2.941134083263e+03 
       1.655409252339e-01       2.851876884643e+03 
       1.687704137789e-01       2.776573296018e+03 
       1.719999069959e-01       2.713788266465e+03 
       1.752294045570e-01       2.661398903287e+03 
       1.784589061834e-01       2.616848213713e+03 
       1.816884116315e-01       2.577386959280e+03 
       1.849179206843e-01       2.540626506230e+03 
       1.881474331454e-01       2.504101438334e+03 
       1.913769488351e-01       2.465476944395e+03 
       1.946064675881e-01       2.423347951818e+03 
       1.978359892510e-01       2.377032263656e+03 
       2.010655136812e-01       2.326582082630e+03 
       2.042950407457e-01       2.272710730979e+03 
       2.075245703202e-01       2.216588975739e+03 
       2.107541022880e-01       2.159649634202e+03 
       2.139836365398e-01       2.103370001307e+03 
       2.172131729729e-01       2.049097803656e+03 
       2.204427114907e-01       1.997921793007e+03 
       2.236722520021e-01       1.950656684801e+03 
       2.269017944215e-01       1.907781074534e+03 
       2.301313386679e-01       1.869454859098e+03 
       2.333608846649e-01       1.835558622584e+03 
       2.365904323404e-01       1.805694695135e+03 
       2.398199816261e-01       1.779244877245e+03 
       2.430495324574e-01       1.755434282292e+03 
       2.462790847730e-01       1.733404676592e+03 
       2.495086385151e-01       1.712311543402e+03 
       2.527381936285e-01       1.691398887303e+03 
       2.559677500610e-01       1.670063211457e+03 
       2.591973077630e-01       1.647892680010e+03 
       2.624268666873e-01       1.624671576749e+03 
       2.656564267891e-01       1.600374920854e+03 
       2.688859880258e-01       1.575149904880e+03 
       2.721155503566e-01       1.549277990933e+03 
       2.753451137429e-01       1.523139974444e+03 
       2.785746781477e-01       1.497172372760e+03 
       2.818042435358e-01       1.471817136757e+03 
       2.850338098737e-01       1.447465687147e+03 
       2.882633771291e-01       1.424430382504e+03 
       2.914929452714e-01       1.402901404252e+03 
       2.947225142714e-01       1.382951314596e+03 
       2.979520841010e-01       1.364533379527e+03 
       3.011816547333e-01       1.347528622731e+03 
       3.044112261426e-01       1.331731217494e+03 
       3.076407983045e-01       1.316912978351e+03 
       3.108703711952e-01       1.302826675752e+03 
       3.140999447922e-01       1.289223260200e+03 
       3.173295190739e-01       1.275870644789e+03 
       3.205590940194e-01       1.262573664442e+03 
       3.237886696087e-01       1.249178561931e+03 
       3.270182458228e-01       1.235596711375e+03 
       3.302478226431e-01       1.221800766065e+03 
       3.334774000520e-01       1.207824601703e+03 
       3.367069780324e-01       1.193749437289e+03 
       3.399365565681e-01       1.179686530036e+03 
       3.431661356432e-01       1.165757732717e+03 
       3.463957152426e-01       1.152079645578e+03 
       3.496252953517e-01       1.138757653057e+03 
       3.528548759564e-01       1.125881258892e+03 
       3.560844570432e-01       1.113513136765e+03 
       3.593140385990e-01       1.101692124485e+03 
       3.625436206113e-01       1.090428261655e+03 
       3.657732030678e-01       1.079699607844e+03 
       3.690027859570e-01       1.069457731759e+03 
       3.722323692674e-01       1.059633591910e+03 
       3.754619529881e-01       1.050142276364e+03 
       3.786915371087e-01       1.040901653136e+03 
       3.819211216189e-01       1.031837890725e+03 
       3.851507065089e-01       1.022892474525e+03 
       3.883802917692e-01       1.014021147493e+03 
       3.916098773905e-01       1.005198025338e+03 
       3.948394633640e-01       9.964091060334e+02 
       3.980690496811e-01       9.876515407782e+02 
       4.012986363334e-01       9.789382548399e+02 
       4.045282233129e-01       9.702873885335e+02 
       4.077578106118e-01       9.617279195876e+02 
       4.109873982224e-01       9.532933150412e+02 
       4.142169861376e-01       9.450164921888e+02 
       4.174465743502e-01       9.369243462216e+02 
       4.206761628533e-01       9.290332890697e+02 
       4.239057516403e-01       9.213543536542e+02 
       4.271353407046e-01       9.138868360901e+02 
       4.303649300401e-01       9.066256820939e+02 
       4.335945196406e-01       8.995593192041e+02 
       4.368241095003e-01       8.926789414092e+02 
       4.400536996134e-01       8.859698779629e+02 
       4.432832899744e-01       8.794112650738e+02 
       4.465128805778e-01       8.729865022274e+02 
       4.497424714184e-01       8.666726299575e+02 
       4.529720624912e-01       8.604480264363e+02 
       4.562016537912e-01       8.542974842363e+02 
       4.594312453135e-01       8.482117047811e+02 
       4.626608370535e-01       8.421844564053e+02 
       4.658904290067e-01       8.362172375657e+02 
       4.691200211686e-01       8.303117165001e+02 
       4.723496135350e-01       8.244734316282e+02 
       4.755792061016e-01       8.187058974418e+02 
       4.788087988645e-01       8.130152955580e+02 
       4.820383918195e-01       8.074086931240e+02 
       4.852679849630e-01       8.018943790047e+02 
       4.884975782911e-01       7.964773709231e+02 
       4.917271718002e-01       7.911655759086e+02 
       4.949567654868e-01       7.859599569337e+02 
       4.981863593473e-01       7.808595610660e+02 
       5.014159533784e-01       7.758575473299e+02 
       5.046455475769e-01       7.709476413465e+02 
       5.078751419394e-01       7.661209094893e+02 
       5.111047364630e-01       7.613702089273e+02 
       5.143343311445e-01       7.566894578623e+02 
       5.175639259810e-01       7.520728450454e+02 
       5.207935209695e-01       7.475163296125e+02 
       5.240231161074e-01       7.430131627175e+02 
       5.272527113918e-01       7.385614494581e+02 
       5.304823068200e-01       7.341568507740e+02 
       5.337119023894e-01       7.297994351579e+02 
       5.369414980975e-01       7.254899315632e+02 
       5.401710939418e-01       7.212312061449e+02 
       5.434006899198e-01       7.170257925396e+02 
       5.466302860292e-01       7.128765547132e+02 
       5.498598822676e-01       7.087839807847e+02 
       5.530894786327e-01       7.047477247082e+02 
       5.563190751224e-01       7.007674440405e+02 
       5.595486717345e-01       6.968413389358e+02 
       5.627782684669e-01       6.929698837971e+02 
       5.660078653175e-01       6.891519197877e+02 
       5.692374622843e-01       6.853869063496e+02 
       5.724670593653e-01       6.816741612690e+02 
       5.756966565586e-01       6.780099928794e+02 
       5.789262538624e-01       6.743920264027e+02 
       5.821558512746e-01       6.708171075022e+02 
       5.853854487937e-01       6.672831253056e+02 
       5.886150464178e-01       6.637886572646e+02 
       5.918446441451e-01       6.603328438498e+02 
       5.950742419740e-01       6.569154560178e+02 
       5.983038399029e-01       6.535356810350e+02 
       6.015334379301e-01       6.501925513026e+02 
       6.047630360541e-01       6.468849959193e+02 
       6.079926342732e-01       6.436122245436e+02 
       6.112222325861e-01       6.403735491792e+02 
       6.144518309912e-01       6.371695983731e+02 
       6.176814294870e-01       6.340003517994e+02 
       6.209110280722e-01       6.308679698239e+02 
       6.241406267453e-01       6.277713576717e+02 
       6.273702255050e-01       6.247101386503e+02 
       6.305998243500e-01       6.216835226988e+02 
       6.338294232789e-01       6.186904185926e+02 
       6.370590222905e-01       6.157286959531e+02 
       6.402886213835e-01       6.127987489037e+02 
       6.435182205566e-01       6.098997434042e+02 
       6.467478198088e-01       6.070315770813e+02 
       6.499774191388e-01       6.041935309987e+02 
       6.532070185454e-01       6.013843577635e+02 
       6.564366180275e-01       5.986030127063e+02 
       6.596662175840e-01       5.958479327701e+02 
       6.628958172138e-01       5.931189046625e+02 
       6.661254169159e-01       5.904154249263e+02 
       6.693550166891e-01       5.877377089822e+02 
       6.725846165325e-01       5.850859460671e+02 
       6.758142164451e-01       5.824599412439e+02 
       6.790438164259e-01       5.798590760705e+02 
       6.822734164738e-01       5.772825844376e+02 
       6.855030165880e-01       5.747299445041e+02 
       6.887326167675e-01       5.722007434935e+02 
       6.919622170113e-01       5.696949926544e+02 
       6.951918173187e-01       5.672128469627e+02 
       6.984214176887e-01       5.647540808384e+02 
       7.016510181204e-01       5.623185435367e+02 
       7.048806186130e-01       5.599055756409e+02 
       7.081102191657e-01       5.575144119567e+02 
       7.113398197776e-01       5.551443410354e+02 
       7.145694204480e-01       5.527948399994e+02 
       7.177990211760e-01       5.504656635368e+02 
       7.210286219608e-01       5.481569071134e+02 
       7.242582228018e-01       5.458684460176e+02 
       7.274878236981e-01       5.435997698578e+02 
       7.307174246491e-01       5.413504639198e+02 
       7.339470256539e-01       5.391199003733e+02 
       7.371766267119e-01       5.369076798115e+02 
       7.404062278224e-01       5.347133568543e+02 
       7.436358289848e-01       5.325369792743e+02 
       7.468654301982e-01       5.303786551030e+02 
       7.500950314621e-01       5.282383321309e+02 
       7.533246327759e-01       5.261158653566e+02 
       7.565542341388e-01       5.240107541003e+02 
       8.263007792820e-01       4.823015903973e+02 
       9.270043371803e-01       4.321629612888e+02 
       1.086815838287e+00       3.692685622766e+02 
       1.340075485027e+00       2.956501138334e+02 
       1.684674531650e+00       2.256046984982e+02 
       2.120837535227e+00       1.658912554539e+02 
       2.669976123584e+00       1.174645961165e+02 
       3.361300790796e+00       8.028533065483e+01 
       4.231626982217e+00       5.322232326122e+01 
       5.327302741146e+00       3.440310928622e+01 
       6.706676797150e+00       2.179430974246e+01 
       8.443205848622e+00       1.359099944011e+01 
