# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   96       3.465832255839e-10       9.622834520430e-14      -2.757219127492e-12       3.908063671528e-16       1.116312073360e-11       1.558259654380e-12      -7.514994400509e-15 
   97       3.506798307977e-10       9.828138160325e-14      -2.845369038556e-12       3.990622940938e-16       1.086714588888e-11       1.525510283562e-12      -7.441234072014e-15 
   98       3.548054687061e-10       1.003213102126e-13      -2.933832403892e-12       4.074104570910e-16       1.058177156813e-11       1.493817493803e-12      -7.362799309430e-15 
   99       3.589597962626e-10       1.023461848094e-13      -3.022542751221e-12       4.158514238172e-16       1.030664538055e-11       1.463150164172e-12      -7.281058271666e-15 
  100       3.631422925160e-10       1.043540321512e-13      -3.111432403497e-12       4.243857886621e-16       1.004130210586e-11       1.433465327917e-12      -7.197489514825e-15 
  101       3.673522515834e-10       1.063428524065e-13      -3.200432496561e-12       4.330141732893e-16       9.785159945996e-12       1.404707770845e-12      -7.113684652897e-15 
  102       3.715887756234e-10       1.083106195854e-13      -3.289472996802e-12       4.417372271925e-16       9.537516776754e-12       1.376809629699e-12      -7.031351018451e-15 
  103       3.758507678089e-10       1.102552819694e-13      -3.378482718806e-12       4.505556282531e-16       9.297546399480e-12       1.349689990537e-12      -6.952314323323e-15 
  104       3.801371625277e-10       1.121748137080e-13      -3.467389935051e-12       4.594700638724e-16       9.064485857982e-12       1.323274016895e-12      -6.878129029326e-15 
  105       3.844476665328e-10       1.140673766150e-13      -3.556124260755e-12       4.684811702693e-16       8.838234280613e-12       1.297554142086e-12      -6.808843786652e-15 
  106       3.887821052766e-10       1.159311811325e-13      -3.644615057742e-12       4.775895859826e-16       8.618828321653e-12       1.272536432834e-12      -6.744073408116e-15 
  107       3.931401902574e-10       1.177644380982e-13      -3.732790889012e-12       4.867959709020e-16       8.406256691029e-12       1.248221612893e-12      -6.683374636415e-15 
  108       3.975215145993e-10       1.195653597380e-13      -3.820579542907e-12       4.961010066112e-16       8.200458505600e-12       1.224604876042e-12      -6.626244493951e-15 
  109       4.019255486323e-10       1.213321606586e-13      -3.907908057269e-12       5.055053967316e-16       8.001321640445e-12       1.201675699070e-12      -6.572118632635e-15 
  110       4.063516354723e-10       1.230630588405e-13      -3.994702743602e-12       5.150098672655e-16       7.808681080152e-12       1.179417654774e-12      -6.520369683704e-15 
  111       4.107989866007e-10       1.247562766305e-13      -4.080889211234e-12       5.246151669393e-16       7.622317270102e-12       1.157808224946e-12      -6.470305607533e-15 
  112       4.152666774451e-10       1.264100417345e-13      -4.166392391479e-12       5.343220675469e-16       7.441954467758e-12       1.136818613365e-12      -6.421168043449e-15 
  113       4.197536429586e-10       1.280225882102e-13      -4.251136561796e-12       5.441313642935e-16       7.267259093952e-12       1.116413558791e-12      -6.372130659541e-15 
  114       4.242586732001e-10       1.295921574597e-13      -4.335045369954e-12       5.540438761382e-16       7.097838084170e-12       1.096551147951e-12      -6.322297502472e-15 
  115       4.287804089141e-10       1.311169992225e-13      -4.418041858191e-12       5.640604461378e-16       6.933237239843e-12       1.077182628534e-12      -6.270701347296e-15 
  116       4.333175330005e-10       1.325954202055e-13      -4.500049429042e-12       5.741819159348e-16       6.773040832738e-12       1.058263198732e-12      -6.216509122346e-15 
  117       4.378693807817e-10       1.340259345589e-13      -4.580994824391e-12       5.844090449677e-16       6.617187681523e-12       1.039786263894e-12      -6.159670046363e-15 
  118       4.424353959777e-10       1.354071336450e-13      -4.660805555675e-12       5.947425820369e-16       6.465690586992e-12       1.021753013045e-12      -6.100343560619e-15 
  119       4.470149387966e-10       1.367376414357e-13      -4.739409026756e-12       6.051832903951e-16       6.318537772224e-12       1.004161726030e-12      -6.038699483526e-15 
  120       4.516072832466e-10       1.380161159268e-13      -4.816732566413e-12       6.157319478621e-16       6.175692129121e-12       9.870076835579e-13      -5.974918191356e-15 
  121       4.562116144479e-10       1.392412505518e-13      -4.892703460826e-12       6.263893469389e-16       6.037090464948e-12       9.702830772405e-13      -5.909190798952e-15 
  122       4.608270259447e-10       1.404117755954e-13      -4.967248986064e-12       6.371562949234e-16       5.902642748874e-12       9.539769196389e-13      -5.841719340444e-15 
  123       4.654525170176e-10       1.415264596081e-13      -5.040296440574e-12       6.480336140242e-16       5.772231358511e-12       9.380749543051e-13      -5.772716949966e-15 
  124       4.700869899947e-10       1.425841108198e-13      -5.111773177667e-12       6.590221414762e-16       5.645710326456e-12       9.225595658251e-13      -5.702408042368e-15 
  125       4.747292475646e-10       1.435835785534e-13      -5.181606638006e-12       6.701227296546e-16       5.522904586827e-12       9.074096898615e-13      -5.631028493934e-15 
  126       4.793779900874e-10       1.445237546392e-13      -5.249724382094e-12       6.813362461901e-16       5.403609221808e-12       8.926007231971e-13      -5.558825823098e-15 
  127       4.840318129074e-10       1.454035748286e-13      -5.316054122760e-12       6.926635740835e-16       5.287588708185e-12       8.781044337770e-13      -5.486059371153e-15 
  128       4.886892036650e-10       1.462220202079e-13      -5.380523757647e-12       7.041056118205e-16       5.174576163890e-12       8.638888707521e-13      -5.413000482974e-15 
  129       4.933486940746e-10       1.469781589356e-13      -5.443062103075e-12       7.156632465984e-16       5.064330729231e-12       8.499259234102e-13      -5.339896431980e-15 
  130       4.980093397963e-10       1.476712736261e-13      -5.503601117654e-12       7.273372704412e-16       4.956818428020e-12       8.362151265820e-13      -5.266857336762e-15 
  131       5.026702883719e-10       1.483007506775e-13      -5.562073985132e-12       7.391284550565e-16       4.852049815614e-12       8.227623088736e-13      -5.193957122837e-15 
  132       5.073306279107e-10       1.488660428860e-13      -5.618414472025e-12       7.510375778215e-16       4.750023288573e-12       8.095721429920e-13      -5.121268588447e-15 
  133       5.119893855064e-10       1.493666711491e-13      -5.672556965123e-12       7.630654217050e-16       4.650724747192e-12       7.966481105208e-13      -5.048863325834e-15 
  134       5.166455256545e-10       1.498022261675e-13      -5.724436508995e-12       7.752127751906e-16       4.554127258033e-12       7.839924666956e-13      -4.976811642530e-15 
  135       5.212979486696e-10       1.501723701480e-13      -5.773988843499e-12       7.874804321980e-16       4.460190716455e-12       7.716062051799e-13      -4.905182482633e-15 
  136       5.259454891027e-10       1.504768385054e-13      -5.821150441281e-12       7.998691920063e-16       4.368861509145e-12       7.594890228400e-13      -4.834043348092e-15 
  137       5.305869141583e-10       1.507154415656e-13      -5.865858545289e-12       8.123798591757e-16       4.280072176648e-12       7.476392845215e-13      -4.763460219990e-15 
  138       5.352209221120e-10       1.508880662675e-13      -5.908051206275e-12       8.250132434702e-16       4.193741075899e-12       7.360539878242e-13      -4.693497479825e-15 
  139       5.398461407275e-10       1.509946778657e-13      -5.947667320300e-12       8.377701597797e-16       4.109772042751e-12       7.247287278777e-13      -4.624217830792e-15 
  140       5.444611256740e-10       1.510353216330e-13      -5.984646666246e-12       8.506514280425e-16       4.028054054508e-12       7.136576621174e-13      -4.555682219066e-15 
  141       5.490643589437e-10       1.510101245627e-13      -6.018929943314e-12       8.636578731674e-16       3.948460892458e-12       7.028334750597e-13      -4.487949755085e-15 
  142       5.536542472686e-10       1.509192970710e-13      -6.050458808538e-12       8.767903249566e-16       3.870850804396e-12       6.922473430777e-13      -4.421077634829e-15 
  143       5.582291205381e-10       1.507631346997e-13      -6.079175914288e-12       8.900496180275e-16       3.795066167163e-12       6.818888991768e-13      -4.355121061108e-15 
  144       5.627873669917e-10       1.505420314961e-13      -6.105025496031e-12       9.034365422104e-16       3.720966549791e-12       6.717484537645e-13      -4.290119299306e-15 
  145       5.673278571595e-10       1.502565180461e-13      -6.127955121760e-12       9.169516883951e-16       3.648532289063e-12       6.618239780749e-13      -4.226052461454e-15 
  146       5.718495589022e-10       1.499072304443e-13      -6.147914187133e-12       9.305955872685e-16       3.577770531143e-12       6.521147454611e-13      -4.162880292175e-15 
  147       5.763514035995e-10       1.494949007071e-13      -6.164853421020e-12       9.443687571153e-16       3.508682603638e-12       6.426191151609e-13      -4.100555494642e-15 
  148       5.808322853531e-10       1.490203585423e-13      -6.178724926166e-12       9.582717034565e-16       3.441263870088e-12       6.333345100373e-13      -4.039023572173e-15 
  149       5.852910601901e-10       1.484845331186e-13      -6.189482219858e-12       9.723049186862e-16       3.375503584456e-12       6.242573943198e-13      -3.978222669825e-15 
  150       5.897265452666e-10       1.478884548350e-13      -6.197080274601e-12       9.864688817099e-16       3.311384745615e-12       6.153832513454e-13      -3.918083415993e-15 
  151       5.941375180707e-10       1.472332570905e-13      -6.201475558780e-12       1.000764057582e-15       3.248883951835e-12       6.067065612998e-13      -3.858528764002e-15 
  152       5.985227156261e-10       1.465201780538e-13      -6.202626077328e-12       1.015190897144e-15       3.187971255274e-12       5.982207789580e-13      -3.799473833703e-15 
  153       6.028808336953e-10       1.457505624325e-13      -6.200491412403e-12       1.029749836662e-15       3.128610016463e-12       5.899183114261e-13      -3.740825753068e-15 
  154       6.072105259832e-10       1.449258632431e-13      -6.195032764046e-12       1.044441297462e-15       3.070756758798e-12       5.817904958816e-13      -3.682483499786e-15 
  155       6.115104033401e-10       1.440476435802e-13      -6.186212990856e-12       1.059265685572e-15       3.014361023025e-12       5.738275773151e-13      -3.624337742861e-15 
  156       6.157790329652e-10       1.431175783862e-13      -6.173996650660e-12       1.074223391358e-15       2.959365221729e-12       5.660186862707e-13      -3.566270684201e-15 
  157       6.200149376101e-10       1.421374562210e-13      -6.158350041174e-12       1.089314789160e-15       2.905704493826e-12       5.583518165879e-13      -3.508155900218e-15 
  158       6.242165947819e-10       1.411091810311e-13      -6.139241240681e-12       1.104540236931e-15       2.853306559044e-12       5.508138031417e-13      -3.449858183422e-15 
  159       6.283824359467e-10       1.400347739199e-13      -6.116640148692e-12       1.119900075875e-15       2.802091572417e-12       5.433902995845e-13      -3.391233384017e-15 
  160       6.325108457330e-10       1.389163749165e-13      -6.090518526620e-12       1.135394630085e-15       2.751971978773e-12       5.360657560866e-13      -3.332128251495e-15 
  161       6.366002721499e-10       1.377561952930e-13      -6.060849874416e-12       1.151024169798e-15       2.702870462745e-12       5.288268554125e-13      -3.272418442822e-15 
  162       6.406495698677e-10       1.365563660618e-13      -6.027608962859e-12       1.166788798271e-15       2.654775888147e-12       5.216732093516e-13      -3.212126656763e-15 
  163       6.446576859135e-10       1.353190793998e-13      -5.990772337438e-12       1.182688554164e-15       2.607692050402e-12       5.146075700645e-13      -3.151314692385e-15 
  164       6.486235511026e-10       1.340466384260e-13      -5.950318518259e-12       1.198723446496e-15       2.561619964176e-12       5.076324505266e-13      -3.090046239126e-15 
  165       6.525460797531e-10       1.327414587435e-13      -5.906228039954e-12       1.214893454114e-15       2.516557801118e-12       5.007501181802e-13      -3.028386893987e-15 
  166       6.564241693996e-10       1.314060699817e-13      -5.858483491600e-12       1.231198525161e-15       2.472500827609e-12       4.939625885871e-13      -2.966404178729e-15 
  167       6.602567005075e-10       1.300431173381e-13      -5.807069556630e-12       1.247638576554e-15       2.429441342502e-12       4.872716190809e-13      -2.904167557066e-15 
  168       6.640425361870e-10       1.286553631205e-13      -5.751973052748e-12       1.264213493446e-15       2.387368614865e-12       4.806787024195e-13      -2.841748451860e-15 
  169       6.677805219073e-10       1.272456882889e-13      -5.693182971844e-12       1.280923128702e-15       2.346268821727e-12       4.741850604375e-13      -2.779220262318e-15 
  170       6.714694852109e-10       1.258170939978e-13      -5.630690519906e-12       1.297767302366e-15       2.306124985819e-12       4.677916376988e-13      -2.716658381185e-15 
  171       6.751082354272e-10       1.243727031377e-13      -5.564489156934e-12       1.314745801132e-15       2.266916913320e-12       4.614990951487e-13      -2.654140211939e-15 
  172       6.786955633873e-10       1.229157618779e-13      -5.494574636855e-12       1.331858377817e-15       2.228621131598e-12       4.553078037664e-13      -2.591745185988e-15 
  173       6.822302411374e-10       1.214496412077e-13      -5.420945047438e-12       1.349104750828e-15       2.191210826955e-12       4.492178382177e-13      -2.529554779863e-15 
