# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   64       1.751203054993e+03       2.567393617222e-01       1.287330626817e-03      -3.353167583187e+00       1.254986673096e-07       6.282015141945e-04      -1.964273647596e-06 
   65       1.774786526092e+03       2.686395372385e-01       1.327994161904e-03      -3.732835139702e+00       1.248415740597e-07       6.185315770051e-04      -1.976368554407e-06 
   66       1.798597371612e+03       2.807995612812e-01       1.369286770815e-03      -4.125654726144e+00       1.241895574800e-07       6.091808758506e-04      -1.980100835811e-06 
   67       1.822636432239e+03       2.932096062703e-01       1.411208279504e-03      -4.531454530588e+00       1.235302275678e-07       6.000738164363e-04      -1.977596224325e-06 
   68       1.846902858774e+03       3.058599211983e-01       1.453758622318e-03      -4.950050139094e+00       1.228484824298e-07       5.911283429066e-04      -1.971033336464e-06 
   69       1.871405459575e+03       3.187442532284e-01       1.496938061367e-03      -5.381276760303e+00       1.221515337842e-07       5.823640006217e-04      -1.961207138857e-06 
   70       1.896153079753e+03       3.318570755738e-01       1.540747017522e-03      -5.824963027696e+00       1.214511006490e-07       5.738196453000e-04      -1.948598472739e-06 
   71       1.921150968658e+03       3.451925842323e-01       1.585186012333e-03      -6.280921486605e+00       1.207559717220e-07       5.655213193312e-04      -1.933782340223e-06 
   72       1.946400547505e+03       3.587446990712e-01       1.630255672913e-03      -6.748948554763e+00       1.200713284739e-07       5.574806114989e-04      -1.917434157821e-06 
   73       1.971899176985e+03       3.725070649114e-01       1.675956736834e-03      -7.228824482864e+00       1.193980165523e-07       5.496929579215e-04      -1.900336171862e-06 
   74       1.997639924891e+03       3.864730526126e-01       1.722290057015e-03      -7.720313315114e+00       1.187317640069e-07       5.421358842111e-04      -1.883384035814e-06 
   75       2.023611333735e+03       4.006357601579e-01       1.769256606614e-03      -8.223162849788e+00       1.180623448451e-07       5.347671888504e-04      -1.867593549485e-06 
   76       2.049802247677e+03       4.149875699007e-01       1.816857442332e-03      -8.737108399798e+00       1.173781028787e-07       5.275415448908e-04      -1.853936653295e-06 
   77       2.076217823203e+03       4.295187246977e-01       1.865093575801e-03      -9.261884953281e+00       1.166835614408e-07       5.204698701689e-04      -1.842781446638e-06 
   78       2.102866029449e+03       4.442184928911e-01       1.913966087522e-03      -9.797217169192e+00       1.159865160136e-07       5.135726991420e-04      -1.834312272982e-06 
   79       2.129752721345e+03       4.590755812253e-01       1.963476170337e-03      -1.034281581187e+01       1.152927941405e-07       5.068622321277e-04      -1.828684167030e-06 
   80       2.156881510981e+03       4.740781268298e-01       2.013625133471e-03      -1.089837778953e+01       1.146058610322e-07       5.003414208939e-04      -1.826019339688e-06 
   81       2.184253638973e+03       4.892136892028e-01       2.064414406565e-03      -1.146358619271e+01       1.139263983413e-07       4.940030251850e-04      -1.826403550046e-06 
   82       2.211867845827e+03       5.044692421949e-01       2.115845543720e-03      -1.203811033278e+01       1.132518554133e-07       4.878286401830e-04      -1.829882364384e-06 
   83       2.239720243300e+03       5.198311659921e-01       2.167920227529e-03      -1.262160578040e+01       1.125759723198e-07       4.817876949042e-04      -1.836457302192e-06 
   84       2.267806672228e+03       5.352857179160e-01       2.220640240435e-03      -1.321371426439e+01       1.118917840016e-07       4.758487599377e-04      -1.846044736971e-06 
   85       2.296130506875e+03       5.508205520596e-01       2.274007364494e-03      -1.381406326479e+01       1.112029679197e-07       4.700190490919e-04      -1.858349747413e-06 
   86       2.324695914543e+03       5.664234380481e-01       2.328023472319e-03      -1.442226642258e+01       1.105152791607e-07       4.643128044237e-04      -1.872953792566e-06 
   87       2.353505398588e+03       5.820818046515e-01       2.382690561724e-03      -1.503792370888e+01       1.098331352836e-07       4.587393323681e-04      -1.889343046843e-06 
   88       2.382559711569e+03       5.977827398160e-01       2.438010759213e-03      -1.566062146106e+01       1.091593760450e-07       4.533025083765e-04      -1.906902020277e-06 
   89       2.411857768406e+03       6.135129906941e-01       2.493986323468e-03      -1.628993241894e+01       1.084950083455e-07       4.480002672156e-04      -1.924907021477e-06 
   90       2.441396559531e+03       6.292589636756e-01       2.550619648835e-03      -1.692541576082e+01       1.078389360495e-07       4.428240789258e-04      -1.942519463294e-06 
   91       2.471171064044e+03       6.450067244187e-01       2.607913268819e-03      -1.756661713971e+01       1.071876743323e-07       4.377584104406e-04      -1.958779011197e-06 
   92       2.501174162867e+03       6.607419978803e-01       2.665869859566e-03      -1.821306871939e+01       1.065350482085e-07       4.327801728649e-04      -1.972596574350e-06 
   93       2.531398899387e+03       6.764504018110e-01       2.724492287261e-03      -1.886429577247e+01       1.058747349160e-07       4.278670773603e-04      -1.983001158596e-06 
   94       2.561845838965e+03       6.921181873448e-01       2.783783750897e-03      -1.951983753107e+01       1.052095045073e-07       4.230261376123e-04      -1.989960505073e-06 
   95       2.592516660879e+03       7.077316103694e-01       2.843747667528e-03      -2.017922955345e+01       1.045441377413e-07       4.182705236827e-04      -1.993731642435e-06 
   96       2.623411855566e+03       7.232767111787e-01       2.904387634311e-03      -2.084199756610e+01       1.038826805755e-07       4.136109647496e-04      -1.994625869074e-06 
   97       2.654530670001e+03       7.387393177082e-01       2.965707432599e-03      -2.150765758991e+01       1.032283145023e-07       4.090555078637e-04      -1.993011866040e-06 
   98       2.685871053075e+03       7.541050487708e-01       3.027711032031e-03      -2.217571606636e+01       1.025832195230e-07       4.046092702246e-04      -1.989318876429e-06 
   99       2.717429600967e+03       7.693593172922e-01       3.090402594622e-03      -2.284566998376e+01       1.019484296018e-07       4.002741849768e-04      -1.984039951246e-06 
  100       2.749201502530e+03       7.844873335462e-01       3.153786478857e-03      -2.351700700345e+01       1.013236804416e-07       3.960487405263e-04      -1.977735261726e-06 
  101       2.781180484663e+03       7.994741083902e-01       3.217867243780e-03      -2.418920558599e+01       1.007072494244e-07       3.919277133765e-04      -1.971035478126e-06 
  102       2.813358757690e+03       8.143044565011e-01       3.282649653089e-03      -2.486173511735e+01       1.000957875591e-07       3.879018944855e-04      -1.964645214982e-06 
  103       2.845726960738e+03       8.289629996104e-01       3.348138679220e-03      -2.553405603516e+01       9.948414327630e-08       3.839578091422e-04      -1.959346542840e-06 
  104       2.878276131855e+03       8.434345471968e-01       3.414339378332e-03      -2.620562557687e+01       9.886727050598e-08       3.800823634621e-04      -1.955833452046e-06 
  105       2.911004039104e+03       8.577052901637e-01       3.481256487191e-03      -2.687591563679e+01       9.824696353330e-08       3.762784944643e-04      -1.954168940798e-06 
  106       2.943909606857e+03       8.717617751927e-01       3.548894779201e-03      -2.754439756780e+01       9.762657852004e-08       3.725521468563e-04      -1.954224913077e-06 
  107       2.976990935444e+03       8.855905489801e-01       3.617259191298e-03      -2.821053696051e+01       9.700902949920e-08       3.689074774969e-04      -1.955839863189e-06 
  108       3.010245268783e+03       8.991781656201e-01       3.686354826619e-03      -2.887379383118e+01       9.639671776603e-08       3.653467117295e-04      -1.958816931149e-06 
  109       3.043668962003e+03       9.125111939888e-01       3.756186957177e-03      -2.953362280978e+01       9.579145766711e-08       3.618699963491e-04      -1.962921917842e-06 
  110       3.077257449075e+03       9.255762251268e-01       3.826761026532e-03      -3.018947332791e+01       9.519439871802e-08       3.584752492009e-04      -1.967881259932e-06 
  111       3.111005210439e+03       9.383598796230e-01       3.898082652466e-03      -3.084078980683e+01       9.460594398021e-08       3.551580054128e-04      -1.973379964549e-06 
  112       3.144905740630e+03       9.508488149979e-01       3.970157629650e-03      -3.148701184544e+01       9.402566462775e-08       3.519112602593e-04      -1.979059503727e-06 
  113       3.178951515907e+03       9.630297330871e-01       4.042991932322e-03      -3.212757440823e+01       9.345221063460e-08       3.487253086591e-04      -1.984515668616e-06 
  114       3.213133961881e+03       9.748893874243e-01       4.116591716959e-03      -3.276190801330e+01       9.288321751288e-08       3.455875813048e-04      -1.989296383448e-06 
  115       3.247443421141e+03       9.864145906251e-01       4.190963324944e-03      -3.338943892034e+01       9.231520903292e-08       3.424824774251e-04      -1.992899479273e-06 
  116       3.281870457822e+03       9.975925795058e-01       4.266113085617e-03      -3.400959511081e+01       9.174487313031e-08       3.393958105895e-04      -1.994877772035e-06 
  117       3.316410020464e+03       1.008412145016e+00       4.342046692530e-03      -3.462182465148e+01       9.117347141817e-08       3.363294431849e-04      -1.995181094232e-06 
  118       3.351057726847e+03       1.018862654187e+00       4.418769756020e-03      -3.522557992699e+01       9.060330168227e-08       3.332889940701e-04      -1.993872239718e-06 
  119       3.385808552002e+03       1.028933715126e+00       4.496287996947e-03      -3.582031228396e+01       9.003637432827e-08       3.302793997155e-04      -1.991025562365e-06 
  120       3.420656807666e+03       1.038615187553e+00       4.574607247603e-03      -3.640547227019e+01       8.947437213015e-08       3.273048567856e-04      -1.986727493742e-06 
  121       3.455596121726e+03       1.047897193358e+00       4.653733452619e-03      -3.698050987391e+01       8.891860814445e-08       3.243687634562e-04      -1.981077069434e-06 
  122       3.490619417671e+03       1.056770127139e+00       4.733672669873e-03      -3.754487476290e+01       8.836998175840e-08       3.214736594673e-04      -1.974186464013e-06 
  123       3.525718894037e+03       1.065224666752e+00       4.814431071395e-03      -3.809801652375e+01       8.782893284040e-08       3.186211649095e-04      -1.966181534647e-06 
  124       3.560886003857e+03       1.073251783857e+00       4.896014944277e-03      -3.863938490105e+01       8.729539396122e-08       3.158119177462e-04      -1.957202373363e-06 
  125       3.596111434110e+03       1.080842754463e+00       4.978430691580e-03      -3.916843003655e+01       8.676874065393e-08       3.130455100708e-04      -1.947403867943e-06 
  126       3.631385085168e+03       1.087989169479e+00       5.061684833240e-03      -3.968460270840e+01       8.624773968127e-08       3.103204230977e-04      -1.936956271477e-06 
  127       3.666696050246e+03       1.094682945252e+00       5.145784006975e-03      -4.018735457032e+01       8.573049527846e-08       3.076339608895e-04      -1.926045780556e-06 
  128       3.702032594848e+03       1.100916334123e+00       5.230734969196e-03      -4.067613839080e+01       8.521439333985e-08       3.049821828177e-04      -1.914875122108e-06 
  129       3.737383366732e+03       1.106682239758e+00       5.316544391028e-03      -4.115041438263e+01       8.469702042727e-08       3.023614821549e-04      -1.903626330500e-06 
  130       3.772741219519e+03       1.111975179882e+00       5.403218219158e-03      -4.160966946836e+01       8.417927869029e-08       2.997737658674e-04      -1.892340833330e-06 
  131       3.808099771653e+03       1.116790449582e+00       5.490762246262e-03      -4.205340059011e+01       8.366283950533e-08       2.972219955680e-04      -1.881020790640e-06 
  132       3.843452201854e+03       1.121123838586e+00       5.579182309046e-03      -4.248110908877e+01       8.314920442738e-08       2.947085785884e-04      -1.869664985023e-06 
  133       3.878791237372e+03       1.124971643986e+00       5.668484287693e-03      -4.289230098672e+01       8.263968319039e-08       2.922353305717e-04      -1.858268614762e-06 
  134       3.914109142242e+03       1.128330682972e+00       5.758674105297e-03      -4.328648727067e+01       8.213537079936e-08       2.898034373460e-04      -1.846823083076e-06 
  135       3.949397705536e+03       1.131198305552e+00       5.849757727311e-03      -4.366318417438e+01       8.163712370008e-08       2.874134160799e-04      -1.835315783470e-06 
  136       3.984648229614e+03       1.133572407286e+00       5.941741160983e-03      -4.402191346146e+01       8.114553501215e-08       2.850650757177e-04      -1.823729881198e-06 
  137       4.019851518385e+03       1.135451442007e+00       6.034630454802e-03      -4.436220270816e+01       8.066090881137e-08       2.827574766965e-04      -1.812044090824e-06 
  138       4.054997865552e+03       1.136834434555e+00       6.128431697936e-03      -4.468358558614e+01       8.018323344694e-08       2.804888899442e-04      -1.800232449899e-06 
  139       4.090077042871e+03       1.137720993499e+00       6.223151019674e-03      -4.498560214523e+01       7.971215387971e-08       2.782567551585e-04      -1.788264088740e-06 
  140       4.125078288401e+03       1.138111323867e+00       6.318794588868e-03      -4.526779909624e+01       7.924694302691e-08       2.760576383666e-04      -1.776102996316e-06 
  141       4.159990294762e+03       1.138006239872e+00       6.415368613374e-03      -4.552973009371e+01       7.878647209942e-08       2.738871887663e-04      -1.763707782245e-06 
  142       4.194801197383e+03       1.137407177642e+00       6.512879339495e-03      -4.577095601870e+01       7.832917991735e-08       2.717400948482e-04      -1.751031434891e-06 
  143       4.229498562761e+03       1.136316207944e+00       6.611333051417e-03      -4.599104526158e+01       7.787304118967e-08       2.696100397988e-04      -1.738021075572e-06 
  144       4.264070373604e+03       1.134736139059e+00       6.710735706355e-03      -4.618957782160e+01       7.741623203461e-08       2.674914338528e-04      -1.724629706341e-06 
  145       4.298508118539e+03       1.132670809966e+00       6.811091800597e-03      -4.636615746428e+01       7.695934727110e-08       2.653849985687e-04      -1.710853955278e-06 
  146       4.332803986100e+03       1.130124850390e+00       6.912405390084e-03      -4.652040130573e+01       7.650355506242e-08       2.632929212401e-04      -1.696701431761e-06 
  147       4.366949889218e+03       1.127103606381e+00       7.014680442041e-03      -4.665193640543e+01       7.604992523515e-08       2.612171336248e-04      -1.682179168661e-06 
  148       4.400937459207e+03       1.123613153557e+00       7.117920832329e-03      -4.676040007100e+01       7.559941759536e-08       2.591592952514e-04      -1.667293569665e-06 
  149       4.434758039743e+03       1.119660310353e+00       7.222130342790e-03      -4.684544016285e+01       7.515286980991e-08       2.571207764308e-04      -1.652050355571e-06 
  150       4.468402680850e+03       1.115252651262e+00       7.327312658593e-03      -4.690671539894e+01       7.471098484685e-08       2.551026409729e-04      -1.636454509549e-06 
  151       4.501862132882e+03       1.110398520085e+00       7.433471365587e-03      -4.694389565949e+01       7.427431796865e-08       2.531056286088e-04      -1.620510221377e-06 
  152       4.535126840505e+03       1.105107043174e+00       7.540609947643e-03      -4.695666229166e+01       7.384326327235e-08       2.511301371180e-04      -1.604220830636e-06 
  153       4.568186936681e+03       1.099388142676e+00       7.648731784005e-03      -4.694470841431e+01       7.341803977033e-08       2.491762041608e-04      -1.587588768893e-06 
  154       4.601032236648e+03       1.093252549782e+00       7.757840146636e-03      -4.690773922266e+01       7.299867700566e-08       2.472434888162e-04      -1.570615500837e-06 
  155       4.633652231906e+03       1.086711817970e+00       7.867938197567e-03      -4.684547229306e+01       7.258500019600e-08       2.453312528251e-04      -1.553301464392e-06 
  156       4.666036084200e+03       1.079778336251e+00       7.979028986243e-03      -4.675763788767e+01       7.217661489977e-08       2.434383415381e-04      -1.535646009804e-06 
  157       4.698172619500e+03       1.072465342414e+00       8.091115446872e-03      -4.664397925917e+01       7.177289119866e-08       2.415631645694e-04      -1.517647337690e-06 
  158       4.730050321984e+03       1.064786936273e+00       8.204200395772e-03      -4.650425295550e+01       7.137294739017e-08       2.397036761557e-04      -1.499302436061e-06 
  159       4.761657328025e+03       1.056758092911e+00       8.318286528718e-03      -4.633822912455e+01       7.097563318429e-08       2.378573552196e-04      -1.480607016316e-06 
  160       4.792981420166e+03       1.048394675927e+00       8.433376418291e-03      -4.614569181888e+01       7.057951239798e-08       2.360211851393e-04      -1.461555448206e-06 
  161       4.824010858940e+03       1.039713086152e+00       8.549472230493e-03      -4.592643820882e+01       7.018331746549e-08       2.341926083131e-04      -1.442145153535e-06 
  162       4.854736973590e+03       1.030729145098e+00       8.666574851995e-03      -4.568027550387e+01       6.978744254320e-08       2.323725764134e-04      -1.422390585254e-06 
  163       4.885151790014e+03       1.021459137625e+00       8.784684680280e-03      -4.540702434013e+01       6.939267893687e-08       2.305628652565e-04      -1.402310974913e-06 
  164       4.915247211402e+03       1.011920179063e+00       8.903801893524e-03      -4.510652014474e+01       6.899975973257e-08       2.287651277079e-04      -1.381926029694e-06 
  165       4.945015016069e+03       1.002130226783e+00       9.023926446647e-03      -4.477861343558e+01       6.860935358086e-08       2.269808857705e-04      -1.361255925312e-06 
  166       4.974446855297e+03       9.921080917595e-01       9.145058067373e-03      -4.442317012096e+01       6.822205827363e-08       2.252115225438e-04      -1.340321298634e-06 
  167       5.003534251169e+03       9.818734501443e-01       9.267196252286e-03      -4.404007179931e+01       6.783839411099e-08       2.234582740555e-04      -1.319143240042e-06 
  168       5.032268594405e+03       9.714468548323e-01       9.390340262883e-03      -4.362921605886e+01       6.745879705566e-08       2.217222209654e-04      -1.297743285523e-06 
  169       5.060641142206e+03       9.608497470303e-01       9.514489121632e-03      -4.319051677736e+01       6.708361167212e-08       2.200042801400e-04      -1.276143408495e-06 
  170       5.088643016086e+03       9.501044678252e-01       9.639641608029e-03      -4.272390442173e+01       6.671308384807e-08       2.183051961005e-04      -1.254366011356e-06 
  171       5.116265199710e+03       9.392342697523e-01       9.765796254653e-03      -4.222932634778e+01       6.634735329545e-08       2.166255323418e-04      -1.232433916783e-06 
  172       5.143498536734e+03       9.282633283640e-01       9.892951343219e-03      -4.170674709991e+01       6.598644582847e-08       2.149656625235e-04      -1.210370358740e-06 
  173       5.170333728642e+03       9.172167537975e-01       1.002110490064e-02      -4.115614871077e+01       6.563026541605e-08       2.133257615328e-04      -1.188198973240e-06 
  174       5.196761332581e+03       9.061206023435e-01       1.015025469508e-02      -4.057753100097e+01       6.527858600600e-08       2.117057964203e-04      -1.165943788827e-06 
  175       5.222771759200e+03       8.950018880144e-01       1.028039823201e-02      -3.997091187877e+01       6.493104311839e-08       2.101055172058e-04      -1.143629216791e-06 
