# Matter power spectrum P(k) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.384017446692e-02       3.804201199500e+00 
       2.397419096152e-02       3.794398161832e+00 
       2.410832989569e-02       3.784487918444e+00 
       2.424259386064e-02       3.774477146980e+00 
       2.437698551064e-02       3.764373966581e+00 
       2.451150756465e-02       3.754187580444e+00 
       2.464616280806e-02       3.743907802833e+00 
       2.478095409441e-02       3.733539912606e+00 
       2.491588434721e-02       3.723084545860e+00 
       2.505095656177e-02       3.712546932387e+00 
       2.518617380718e-02       3.701923543543e+00 
       2.532153922828e-02       3.691230682195e+00 
       2.545705604769e-02       3.680450520588e+00 
       2.559272756800e-02       3.669596393905e+00 
       2.572855717392e-02       3.658671769877e+00 
       2.586454833455e-02       3.647672356203e+00 
       2.600070460579e-02       3.636610363787e+00 
       2.613702963269e-02       3.625458253515e+00 
       2.627352715205e-02       3.614272258099e+00 
       2.641020099497e-02       3.603004175825e+00 
       2.654705508956e-02       3.591680094466e+00 
       2.668409346375e-02       3.580288939104e+00 
       2.682132024813e-02       3.568837779736e+00 
       2.695873967901e-02       3.557339757157e+00 
       2.709635610147e-02       3.545781350530e+00 
       2.723417397261e-02       3.534167888441e+00 
       2.737219786483e-02       3.522504157125e+00 
       2.751043246934e-02       3.510793704419e+00 
       2.764888259969e-02       3.499033562778e+00 
       2.778755319552e-02       3.487224612234e+00 
       2.792644932638e-02       3.475371590057e+00 
       2.806557619576e-02       3.463475304394e+00 
       2.820493914521e-02       3.451542364118e+00 
       2.834454365867e-02       3.439562877328e+00 
       2.848439536691e-02       3.427552177744e+00 
       2.862450005222e-02       3.415494051131e+00 
       2.876486365322e-02       3.403412267925e+00 
       2.890549226988e-02       3.391291592712e+00 
       2.904639216873e-02       3.379140145947e+00 
       2.918756978830e-02       3.366956170282e+00 
       2.932903174480e-02       3.354747062306e+00 
       2.947078483793e-02       3.342502096771e+00 
       2.961283605707e-02       3.330239106132e+00 
       2.975519258760e-02       3.317944919679e+00 
       2.989786181758e-02       3.305633021846e+00 
       3.004085134464e-02       3.293299797175e+00 
       3.018416898324e-02       3.280939084114e+00 
       3.032782277212e-02       3.268557580877e+00 
       3.047182098223e-02       3.256176462356e+00 
       3.061617212485e-02       3.243753864060e+00 
       3.076088496017e-02       3.231324902183e+00 
       3.090596850625e-02       3.218879311803e+00 
       3.105143204830e-02       3.206417297624e+00 
       3.119728514843e-02       3.193940782236e+00 
       3.134353765589e-02       3.181465265334e+00 
       3.149019971770e-02       3.168969206573e+00 
       3.163728178981e-02       3.156463400486e+00 
       3.178479464878e-02       3.143959270468e+00 
       3.193274940404e-02       3.131448150040e+00 
       3.208115751065e-02       3.118908040420e+00 
       3.223003078281e-02       3.106365850795e+00 
       3.237938140787e-02       3.093834944253e+00 
       3.252922196116e-02       3.081283943891e+00 
