# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   68       1.845240549157e+03       3.045021351662e-01       0.000000000000e+00      -4.946632783888e+00       1.228484824298e-07       5.911283429066e-04      -1.971033336464e-06 
   69       1.869708645002e+03       3.173515127776e-01       0.000000000000e+00      -5.377937937835e+00       1.221515337842e-07       5.823640006217e-04      -1.961207138857e-06 
   70       1.894421946394e+03       3.304292560465e-01       0.000000000000e+00      -5.821722873040e+00       1.214511006490e-07       5.738196453000e-04      -1.948598472739e-06 
   71       1.919385742824e+03       3.437295721649e-01       0.000000000000e+00      -6.277801265134e+00       1.207559717220e-07       5.655213193312e-04      -1.933782340223e-06 
   72       1.944601497712e+03       3.572463915601e-01       0.000000000000e+00      -6.745970683231e+00       1.200713284739e-07       5.574806114989e-04      -1.917434157821e-06 
   73       1.970066616093e+03       3.709733689438e-01       0.000000000000e+00      -7.226012550278e+00       1.193980165523e-07       5.496929579215e-04      -1.900336171862e-06 
   74       1.995774212305e+03       3.849038843608e-01       0.000000000000e+00      -7.717692103400e+00       1.187317640069e-07       5.421358842111e-04      -1.883384035814e-06 
   75       2.021712877675e+03       3.990310442378e-01       0.000000000000e+00      -8.220758354245e+00       1.180623448451e-07       5.347671888504e-04      -1.867593549485e-06 
   76       2.047871502921e+03       4.133472385859e-01       0.000000000000e+00      -8.734947844522e+00       1.173781028787e-07       5.275415448908e-04      -1.853936653295e-06 
   77       2.074255274144e+03       4.278427170693e-01       0.000000000000e+00      -9.259996790899e+00       1.166835614408e-07       5.204698701689e-04      -1.842781446638e-06 
   78       2.100872185269e+03       4.425067539749e-01       0.000000000000e+00      -9.795631093032e+00       1.159865160136e-07       5.135726991420e-04      -1.834312272982e-06 
   79       2.127728115518e+03       4.573280611008e-01       0.000000000000e+00      -1.034156277240e+01       1.152927941405e-07       5.068622321277e-04      -1.828684167030e-06 
   80       2.154826700750e+03       4.722947797039e-01       0.000000000000e+00      -1.089749001049e+01       1.146058610322e-07       5.003414208939e-04      -1.826019339688e-06 
   81       2.182169204794e+03       4.873944724466e-01       0.000000000000e+00      -1.146309718694e+01       1.139263983413e-07       4.940030251850e-04      -1.826403550046e-06 
   82       2.209754390793e+03       5.026141153452e-01       0.000000000000e+00      -1.203805491774e+01       1.132518554133e-07       4.878286401830e-04      -1.829882364384e-06 
   83       2.237578392533e+03       5.179400897162e-01       0.000000000000e+00      -1.262202009336e+01       1.125759723198e-07       4.817876949042e-04      -1.836457302192e-06 
   84       2.265637072660e+03       5.333586534971e-01       0.000000000000e+00      -1.321463573918e+01       1.118917840016e-07       4.758487599377e-04      -1.846044736971e-06 
   85       2.293933828330e+03       5.488574626188e-01       0.000000000000e+00      -1.381553048633e+01       1.112029679197e-07       4.700190490919e-04      -1.858349747413e-06 
   86       2.322472849685e+03       5.644242882531e-01       0.000000000000e+00      -1.442431908268e+01       1.105152791607e-07       4.643128044237e-04      -1.872953792566e-06 
   87       2.351256662451e+03       5.800465598683e-01       0.000000000000e+00      -1.504060259751e+01       1.098331352836e-07       4.587393323681e-04      -1.889343046843e-06 
   88       2.380286041070e+03       5.957113652334e-01       0.000000000000e+00      -1.566396845669e+01       1.091593760450e-07       4.533025083765e-04      -1.906902020277e-06 
   89       2.409559921832e+03       6.114054504225e-01       0.000000000000e+00      -1.629399047784e+01       1.084950083455e-07       4.480002672156e-04      -1.924907021477e-06 
   90       2.439075316009e+03       6.271152198182e-01       0.000000000000e+00      -1.693022890554e+01       1.078389360495e-07       4.428240789258e-04      -1.942519463294e-06 
   91       2.468827222991e+03       6.428267361162e-01       0.000000000000e+00      -1.757223044650e+01       1.071876743323e-07       4.377584104406e-04      -1.958779011197e-06 
   92       2.498808543415e+03       6.585257203292e-01       0.000000000000e+00      -1.821952830474e+01       1.065350482085e-07       4.327801728649e-04      -1.972596574350e-06 
   93       2.529012344524e+03       6.741977832993e-01       0.000000000000e+00      -1.887164874361e+01       1.058747349160e-07       4.278670773603e-04      -1.983001158596e-06 
   94       2.559439234642e+03       6.898291600561e-01       0.000000000000e+00      -1.952813182436e+01       1.052095045073e-07       4.230261376123e-04      -1.989960505073e-06 
   95       2.590090942372e+03       7.054060864276e-01       0.000000000000e+00      -2.018851386620e+01       1.045441377413e-07       4.182705236827e-04      -1.993731642435e-06 
   96       2.620968009357e+03       7.209145805124e-01       0.000000000000e+00      -2.085232132049e+01       1.038826805755e-07       4.136109647496e-04      -1.994625869074e-06 
   97       2.652069735694e+03       7.363404458611e-01       0.000000000000e+00      -2.151907089555e+01       1.032283145023e-07       4.090555078637e-04      -1.993011866040e-06 
   98       2.683394125365e+03       7.516692746589e-01       0.000000000000e+00      -2.218826968139e+01       1.025832195230e-07       4.046092702246e-04      -1.989318876429e-06 
   99       2.714937831654e+03       7.668864509072e-01       0.000000000000e+00      -2.285941527449e+01       1.019484296018e-07       4.002741849768e-04      -1.984039951246e-06 
  100       2.746696102569e+03       7.819771536055e-01       0.000000000000e+00      -2.353199590262e+01       1.013236804416e-07       3.960487405263e-04      -1.977735261726e-06 
  101       2.778662726267e+03       7.969263599334e-01       0.000000000000e+00      -2.420549054954e+01       1.007072494244e-07       3.919277133765e-04      -1.971035478126e-06 
  102       2.810829976473e+03       8.117188484327e-01       0.000000000000e+00      -2.487936907984e+01       1.000957875591e-07       3.879018944855e-04      -1.964645214982e-06 
  103       2.843188557903e+03       8.263392021890e-01       0.000000000000e+00      -2.555309236369e+01       9.948414327630e-08       3.839578091422e-04      -1.959346542840e-06 
  104       2.875729570302e+03       8.407721889324e-01       0.000000000000e+00      -2.622611803293e+01       9.886727050598e-08       3.800823634621e-04      -1.955833452046e-06 
  105       2.908450820253e+03       8.550039529617e-01       0.000000000000e+00      -2.689791836617e+01       9.824696353330e-08       3.762784944643e-04      -1.954168940798e-06 
  106       2.941351264223e+03       8.690209909135e-01       0.000000000000e+00      -2.756796506356e+01       9.762657852004e-08       3.725521468563e-04      -1.954224913077e-06 
  107       2.974429034081e+03       8.828097964570e-01       0.000000000000e+00      -2.823572401565e+01       9.700902949920e-08       3.689074774969e-04      -1.955839863189e-06 
  108       3.007681404702e+03       8.963568676182e-01       0.000000000000e+00      -2.890065549001e+01       9.639671776603e-08       3.653467117295e-04      -1.958816931149e-06 
  109       3.041104761573e+03       9.096487141038e-01       0.000000000000e+00      -2.956221431794e+01       9.579145766711e-08       3.618699963491e-04      -1.962921917842e-06 
  110       3.074694568399e+03       9.226718646250e-01       0.000000000000e+00      -3.021985008108e+01       9.519439871802e-08       3.584752492009e-04      -1.967881259932e-06 
  111       3.108445334705e+03       9.354128742214e-01       0.000000000000e+00      -3.087300729807e+01       9.460594398021e-08       3.551580054128e-04      -1.973379964549e-06 
  112       3.142350583441e+03       9.478583315849e-01       0.000000000000e+00      -3.152112561127e+01       9.402566462775e-08       3.519112602593e-04      -1.979059503727e-06 
  113       3.176402818588e+03       9.599948663837e-01       0.000000000000e+00      -3.216363997331e+01       9.345221063460e-08       3.487253086591e-04      -1.984515668616e-06 
  114       3.210593492761e+03       9.718091565862e-01       0.000000000000e+00      -3.279998083385e+01       9.288321751288e-08       3.455875813048e-04      -1.989296383448e-06 
  115       3.244912974816e+03       9.832879357846e-01       0.000000000000e+00      -3.342957432617e+01       9.231520903292e-08       3.424824774251e-04      -1.992899479273e-06 
  116       3.279351854815e+03       9.944183612684e-01       0.000000000000e+00      -3.405184820533e+01       9.174487313031e-08       3.393958105895e-04      -1.994877772035e-06 
  117       3.313905108179e+03       1.005189153354e+00       0.000000000000e+00      -3.466625008247e+01       9.117347141817e-08       3.363294431849e-04      -1.995181094232e-06 
  118       3.348568379342e+03       1.015589608975e+00       0.000000000000e+00      -3.527223176828e+01       9.060330168227e-08       3.332889940701e-04      -1.993872239718e-06 
  119       3.383336669344e+03       1.025609263723e+00       0.000000000000e+00      -3.586924395482e+01       9.003637432827e-08       3.302793997155e-04      -1.991025562365e-06 
  120       3.418204315253e+03       1.035237902367e+00       0.000000000000e+00      -3.645673645307e+01       8.947437213015e-08       3.273048567856e-04      -1.986727493742e-06 
  121       3.453164969603e+03       1.044465569361e+00       0.000000000000e+00      -3.703415843037e+01       8.891860814445e-08       3.243687634562e-04      -1.981077069434e-06 
  122       3.488211579818e+03       1.053282579363e+00       0.000000000000e+00      -3.760095864802e+01       8.836998175840e-08       3.214736594673e-04      -1.974186464013e-06 
  123       3.523336367641e+03       1.061679527744e+00       0.000000000000e+00      -3.815658569870e+01       8.782893284040e-08       3.186211649095e-04      -1.966181534647e-06 
  124       3.558530808567e+03       1.069647301104e+00       0.000000000000e+00      -3.870048824404e+01       8.729539396122e-08       3.158119177462e-04      -1.957202373363e-06 
  125       3.593785611269e+03       1.077177087784e+00       0.000000000000e+00      -3.923211525212e+01       8.676874065393e-08       3.130455100708e-04      -1.947403867943e-06 
  126       3.629090697028e+03       1.084260388382e+00       0.000000000000e+00      -3.975091623495e+01       8.624773968127e-08       3.103204230977e-04      -1.936956271477e-06 
  127       3.664435179161e+03       1.090889026265e+00       0.000000000000e+00      -4.025634148602e+01       8.573049527846e-08       3.076339608895e-04      -1.926045780556e-06 
  128       3.699807342454e+03       1.097055158080e+00       0.000000000000e+00      -4.074784231780e+01       8.521439333985e-08       3.049821828177e-04      -1.914875122108e-06 
  129       3.735195854509e+03       1.102751588768e+00       0.000000000000e+00      -4.122487742348e+01       8.469702042727e-08       3.023614821549e-04      -1.903626330500e-06 
  130       3.770593593736e+03       1.107972733325e+00       0.000000000000e+00      -4.168693224698e+01       8.417927869029e-08       2.997737658674e-04      -1.892340833330e-06 
  131       3.805994204381e+03       1.112713780903e+00       0.000000000000e+00      -4.213350219660e+01       8.366283950533e-08       2.972219955680e-04      -1.881020790640e-06 
  132       3.841390890600e+03       1.116970412342e+00       0.000000000000e+00      -4.256408698979e+01       8.314920442738e-08       2.947085785884e-04      -1.869664985023e-06 
  133       3.876776404712e+03       1.120738812862e+00       0.000000000000e+00      -4.297819093451e+01       8.263968319039e-08       2.922353305717e-04      -1.858268614762e-06 
  134       3.912143035435e+03       1.124015684756e+00       0.000000000000e+00      -4.337532321057e+01       8.213537079936e-08       2.898034373460e-04      -1.846823083076e-06 
  135       3.947482596136e+03       1.126798260081e+00       0.000000000000e+00      -4.375499815091e+01       8.163712370008e-08       2.874134160799e-04      -1.835315783470e-06 
  136       3.982786413075e+03       1.129084313352e+00       0.000000000000e+00      -4.411673552299e+01       8.114553501215e-08       2.850650757177e-04      -1.823729881198e-06 
  137       4.018045313645e+03       1.130872174232e+00       0.000000000000e+00      -4.446006081010e+01       8.066090881137e-08       2.827574766965e-04      -1.812044090824e-06 
  138       4.053249614622e+03       1.132160740227e+00       0.000000000000e+00      -4.478450549269e+01       8.018323344694e-08       2.804888899442e-04      -1.800232449899e-06 
  139       4.088389110407e+03       1.132949489379e+00       0.000000000000e+00      -4.508960732972e+01       7.971215387971e-08       2.782567551585e-04      -1.788264088740e-06 
  140       4.123453061270e+03       1.133238492953e+00       0.000000000000e+00      -4.537491063995e+01       7.924694302691e-08       2.760576383666e-04      -1.776102996316e-06 
  141       4.158430181592e+03       1.133028428136e+00       0.000000000000e+00      -4.563996658334e+01       7.878647209942e-08       2.738871887663e-04      -1.763707782245e-06 
  142       4.193308628116e+03       1.132320590726e+00       0.000000000000e+00      -4.588433344233e+01       7.832917991735e-08       2.717400948482e-04      -1.751031434891e-06 
  143       4.228075988185e+03       1.131116907824e+00       0.000000000000e+00      -4.610757690320e+01       7.787304118967e-08       2.696100397988e-04      -1.738021075572e-06 
  144       4.262720260946e+03       1.129420048878e+00       0.000000000000e+00      -4.630927420401e+01       7.741623203461e-08       2.674914338528e-04      -1.724629706341e-06 
  145       4.297232934790e+03       1.127233744340e+00       0.000000000000e+00      -4.648902644553e+01       7.695934727110e-08       2.653849985687e-04      -1.710853955278e-06 
  146       4.331606192370e+03       1.124562522699e+00       0.000000000000e+00      -4.664644803443e+01       7.650355506242e-08       2.632929212401e-04      -1.696701431761e-06 
  147       4.365831938894e+03       1.121411628092e+00       0.000000000000e+00      -4.678116322656e+01       7.604992523515e-08       2.612171336248e-04      -1.682179168661e-06 
  148       4.399901796076e+03       1.117787033558e+00       0.000000000000e+00      -4.689280643048e+01       7.559941759536e-08       2.591592952514e-04      -1.667293569665e-06 
  149       4.433807096087e+03       1.113695454303e+00       0.000000000000e+00      -4.698102251099e+01       7.515286980991e-08       2.571207764308e-04      -1.652050355571e-06 
  150       4.467538875504e+03       1.109144360949e+00       0.000000000000e+00      -4.704546709275e+01       7.471098484685e-08       2.551026409729e-04      -1.636454509549e-06 
  151       4.501087869266e+03       1.104141992799e+00       0.000000000000e+00      -4.708580686375e+01       7.427431796865e-08       2.531056286088e-04      -1.620510221377e-06 
  152       4.534444504619e+03       1.098697371091e+00       0.000000000000e+00      -4.710171987895e+01       7.384326327235e-08       2.511301371180e-04      -1.604220830636e-06 
  153       4.567598895072e+03       1.092820312256e+00       0.000000000000e+00      -4.709289586377e+01       7.341803977033e-08       2.491762041608e-04      -1.587588768893e-06 
  154       4.600540834344e+03       1.086521441176e+00       0.000000000000e+00      -4.705903651768e+01       7.299867700566e-08       2.472434888162e-04      -1.570615500837e-06 
  155       4.633259790320e+03       1.079812204440e+00       0.000000000000e+00      -4.699985581774e+01       7.258500019600e-08       2.453312528251e-04      -1.553301464392e-06 
  156       4.665744898997e+03       1.072704883606e+00       0.000000000000e+00      -4.691508032218e+01       7.217661489977e-08       2.434383415381e-04      -1.535646009804e-06 
  157       4.697984958436e+03       1.065212608453e+00       0.000000000000e+00      -4.680444947392e+01       7.177289119866e-08       2.415631645694e-04      -1.517647337690e-06 
  158       4.729968422717e+03       1.057349370243e+00       0.000000000000e+00      -4.666771590415e+01       7.137294739017e-08       2.397036761557e-04      -1.499302436061e-06 
  159       4.761683395885e+03       1.049130034977e+00       0.000000000000e+00      -4.650464573586e+01       7.097563318429e-08       2.378573552196e-04      -1.480607016316e-06 
  160       4.793117625905e+03       1.040570356651e+00       0.000000000000e+00      -4.631501888744e+01       7.057951239798e-08       2.360211851393e-04      -1.461555448206e-06 
  161       4.824259339021e+03       1.031686632755e+00       0.000000000000e+00      -4.609862842880e+01       7.018331746549e-08       2.341926083131e-04      -1.442145153535e-06 
  162       4.855099838474e+03       1.022494608690e+00       0.000000000000e+00      -4.585527794858e+01       6.978744254320e-08       2.323725764134e-04      -1.422390585254e-06 
  163       4.885631125102e+03       1.013010501351e+00       0.000000000000e+00      -4.558478453319e+01       6.939267893687e-08       2.305628652565e-04      -1.402310974913e-06 
  164       4.915845075441e+03       1.003251359694e+00       0.000000000000e+00      -4.528697999009e+01       6.899975973257e-08       2.287651277079e-04      -1.381926029694e-06 
  165       4.945733439535e+03       9.932350763457e-01       0.000000000000e+00      -4.496171114695e+01       6.860935358086e-08       2.269808857705e-04      -1.361255925312e-06 
  166       4.975287838758e+03       9.829803992192e-01       0.000000000000e+00      -4.460884015088e+01       6.822205827363e-08       2.252115225438e-04      -1.340321298634e-06 
  167       5.004499763632e+03       9.725069431217e-01       0.000000000000e+00      -4.422824476764e+01       6.783839411099e-08       2.234582740555e-04      -1.319143240042e-06 
  168       5.033360571642e+03       9.618352013681e-01       0.000000000000e+00      -4.381981868078e+01       6.745879705566e-08       2.217222209654e-04      -1.297743285523e-06 
  169       5.061861485055e+03       9.509865573919e-01       0.000000000000e+00      -4.338347179088e+01       6.708361167212e-08       2.200042801400e-04      -1.276143408495e-06 
  170       5.089993588737e+03       9.399832963571e-01       0.000000000000e+00      -4.291913051475e+01       6.671308384807e-08       2.183051961005e-04      -1.254366011356e-06 
  171       5.117747827974e+03       9.288486167698e-01       0.000000000000e+00      -4.242673808459e+01       6.634735329545e-08       2.166255323418e-04      -1.232433916783e-06 
  172       5.145115006283e+03       9.176066420895e-01       0.000000000000e+00      -4.190625484724e+01       6.598644582847e-08       2.149656625235e-04      -1.210370358740e-06 
  173       5.172085783238e+03       9.062824323410e-01       0.000000000000e+00      -4.135765856331e+01       6.563026541605e-08       2.133257615328e-04      -1.188198973240e-06 
  174       5.198650672279e+03       8.949019957260e-01       0.000000000000e+00      -4.078094470644e+01       6.527858600600e-08       2.117057964203e-04      -1.165943788827e-06 
  175       5.224800038538e+03       8.834923002344e-01       0.000000000000e+00      -4.017612676245e+01       6.493104311839e-08       2.101055172058e-04      -1.143629216791e-06 
