# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.491738206673e-02       1.750560958735e+05       1.612565567237e+05       5.480961874456e+03       4.446538839283e+03       1.254392283252e+04       1.676833379911e+05 
       1.504677153968e-02       1.744484200796e+05       1.604552192146e+05       5.150347580115e+03       4.311899490514e+03       1.225607734619e+04       1.670559570511e+05 
       1.517619978518e-02       1.738423277126e+05       1.596551142216e+05       4.833998437341e+03       4.194369416902e+03       1.197965442378e+04       1.664305038767e+05 
       1.530566715463e-02       1.732378407653e+05       1.588563190700e+05       4.533371278866e+03       4.093292160459e+03       1.171493818499e+04       1.658070297553e+05 
       1.543517402014e-02       1.726349135440e+05       1.580587231212e+05       4.249728371725e+03       4.007859703740e+03       1.146210752332e+04       1.651854965285e+05 
       1.556472077443e-02       1.720335841758e+05       1.572625181905e+05       3.984137518510e+03       3.937135766323e+03       1.122125054349e+04       1.645659763702e+05 
       1.569430783085e-02       1.714338288544e+05       1.564675556188e+05       3.737491654455e+03       3.880095221841e+03       1.099236602746e+04       1.639484339028e+05 
       1.582393562331e-02       1.708356548171e+05       1.556739365635e+05       3.510446594801e+03       3.835583293437e+03       1.077535093489e+04       1.633328921578e+05 
       1.595360460635e-02       1.702390650160e+05       1.548817277266e+05       3.303539349437e+03       3.802420701132e+03       1.057004076455e+04       1.627193627306e+05 
       1.608331525513e-02       1.696440397617e+05       1.540908361677e+05       3.117045921271e+03       3.779321245865e+03       1.037616230602e+04       1.621078080161e+05 
       1.621306806550e-02       1.690505980053e+05       1.533014719992e+05       2.951063763816e+03       3.764972026682e+03       1.019337814141e+04       1.614982653192e+05 
       1.634286355406e-02       1.684587551878e+05       1.525135486426e+05       2.805543379228e+03       3.758041773759e+03       1.002128661530e+04       1.608907199142e+05 
       1.647270225826e-02       1.678684448142e+05       1.517268762774e+05       2.680218059022e+03       3.757173462698e+03       9.859403376794e+03       1.602850699585e+05 
       1.660258473651e-02       1.672797346346e+05       1.509419791477e+05       2.574697330213e+03       3.761043762992e+03       9.707219205635e+03       1.596814318531e+05 
       1.673251156829e-02       1.666925592217e+05       1.501583970789e+05       2.488411621327e+03       3.768325005826e+03       9.564146784405e+03       1.590796570275e+05 
       1.686248335431e-02       1.661069614380e+05       1.493763972314e+05       2.420590753125e+03       3.777733073059e+03       9.429563477651e+03       1.584797948080e+05 
       1.699250071665e-02       1.655229805417e+05       1.485959259592e+05       2.370433134006e+03       3.788047507690e+03       9.302828709249e+03       1.578818415655e+05 
       1.712256429898e-02       1.649405332226e+05       1.478171906161e+05       2.336953686980e+03       3.798103238056e+03       9.183261376828e+03       1.572857316120e+05 
       1.725267476672e-02       1.643596913182e+05       1.470400820769e+05       2.319070147759e+03       3.806807885501e+03       9.070168349026e+03       1.566914751027e+05 
       1.738283280727e-02       1.637803758481e+05       1.462643826697e+05       2.315607328964e+03       3.813155535941e+03       8.962840495864e+03       1.560989416299e+05 
       1.751303913022e-02       1.632026621435e+05       1.454906066622e+05       2.325292536998e+03       3.816239957520e+03       8.860577174711e+03       1.555082393060e+05 
       1.764329446762e-02       1.626264910663e+05       1.447182446564e+05       2.346838460014e+03       3.815242750185e+03       8.762670081284e+03       1.549192080811e+05 
       1.777359957426e-02       1.620518718543e+05       1.439477587076e+05       2.378852196891e+03       3.809466767305e+03       8.668433326915e+03       1.543318938786e+05 
       1.790395522789e-02       1.614788475319e+05       1.431789765344e+05       2.419929614509e+03       3.798314539504e+03       8.577193581276e+03       1.537462721449e+05 
       1.803436222959e-02       1.609073771728e+05       1.424119533662e+05       2.468649701986e+03       3.781308743084e+03       8.488306068656e+03       1.531622862475e+05 
       1.816482140401e-02       1.603374599135e+05       1.416467036988e+05       2.523586812410e+03       3.758074003122e+03       8.401150059367e+03       1.525799066849e+05 
       1.829533359977e-02       1.597690793445e+05       1.408830610654e+05       2.583305109798e+03       3.728364966837e+03       8.315144121965e+03       1.519990642650e+05 
       1.842589968975e-02       1.592022735617e+05       1.401214544300e+05       2.646394303869e+03       3.692046514256e+03       8.229753577473e+03       1.514198283126e+05 
       1.855652057151e-02       1.586370336596e+05       1.393616135630e+05       2.711489033427e+03       3.649081968881e+03       8.144475133402e+03       1.508421229339e+05 
       1.868719716760e-02       1.580733852550e+05       1.386039906739e+05       2.777259872538e+03       3.599552319873e+03       8.058866103032e+03       1.502660145661e+05 
       1.881793042603e-02       1.575112057239e+05       1.378478183172e+05       2.842426208898e+03       3.543635417810e+03       7.972514740822e+03       1.496912611927e+05 
       1.894872132064e-02       1.569505781278e+05       1.370934238242e+05       2.905789865400e+03       3.481592630226e+03       7.885077818980e+03       1.491179608330e+05 
       1.907957085153e-02       1.563915475679e+05       1.363412425452e+05       2.966222067537e+03       3.413795226007e+03       7.796267354486e+03       1.485461998124e+05 
       1.921048004555e-02       1.558340279343e+05       1.355909689635e+05       3.022679175818e+03       3.340673121582e+03       7.705837120022e+03       1.479758446874e+05 
       1.934144995672e-02       1.552780372947e+05       1.348425242654e+05       3.074192228970e+03       3.262721714160e+03       7.613597678043e+03       1.474068841481e+05 
       1.947248166675e-02       1.547236324440e+05       1.340963808423e+05       3.119923374510e+03       3.180522531186e+03       7.519427251284e+03       1.468394274274e+05 
       1.960357628552e-02       1.541707170685e+05       1.333520023589e+05       3.159100595002e+03       3.094684553055e+03       7.423236264345e+03       1.462733038902e+05 
       1.973473495163e-02       1.536193406116e+05       1.326096676302e+05       3.191059791295e+03       3.005854557350e+03       7.324995084145e+03       1.457085907276e+05 
       1.986595883290e-02       1.530695030975e+05       1.318694716232e+05       3.215301130212e+03       2.914745015500e+03       7.224739206472e+03       1.451453000591e+05 
       1.999724912697e-02       1.525211835295e+05       1.311312871204e+05       3.231343257763e+03       2.822037823535e+03       7.122519502911e+03       1.445833925207e+05 
       2.012860706186e-02       1.519743793058e+05       1.303951976391e+05       3.238893193175e+03       2.728462706023e+03       7.018454562743e+03       1.440228804836e+05 
       2.026003389659e-02       1.514291297974e+05       1.296613186089e+05       3.237733963970e+03       2.634734347547e+03       6.912697224069e+03       1.434638168098e+05 
       2.039153092176e-02       1.508853825854e+05       1.289296071822e+05       3.227737353534e+03       2.541552632854e+03       6.805429692841e+03       1.429061566552e+05 
       2.052309946024e-02       1.503430989065e+05       1.281997356078e+05       3.208900211891e+03       2.449608590252e+03       6.696869074394e+03       1.423498242581e+05 
       2.065474086780e-02       1.498023555179e+05       1.274721750316e+05       3.181357096254e+03       2.359563870074e+03       6.587274246905e+03       1.417949644247e+05 
       2.078645653382e-02       1.492631471339e+05       1.267471500037e+05       3.145288883572e+03       2.272040336806e+03       6.476913761102e+03       1.412416174093e+05 
       2.091824788195e-02       1.487253674999e+05       1.260237318489e+05       3.100958134515e+03       2.187614319412e+03       6.366068973843e+03       1.406895631198e+05 
       2.105011637092e-02       1.481891731714e+05       1.253030324571e+05       3.048742281373e+03       2.106822773940e+03       6.255061166438e+03       1.401391144420e+05 
       2.118206349520e-02       1.476544554706e+05       1.245845989278e+05       2.989118733593e+03       2.030136243610e+03       6.144199363596e+03       1.395901262879e+05 
       2.131409078586e-02       1.471211705532e+05       1.238680614956e+05       2.922580980420e+03       1.957966286920e+03       6.033802757622e+03       1.390425191059e+05 
       2.144619981132e-02       1.465894257771e+05       1.231541289686e+05       2.849709141124e+03       1.890674829378e+03       5.924202996778e+03       1.384965052170e+05 
       2.157839217820e-02       1.460591589646e+05       1.224424492754e+05       2.771178330411e+03       1.828528845102e+03       5.815717004606e+03       1.379519948468e+05 
       2.171066953217e-02       1.455303389810e+05       1.217328787739e+05       2.687638239495e+03       1.771750752100e+03       5.708655146873e+03       1.374089550566e+05 
       2.184303355883e-02       1.450029932356e+05       1.210258424574e+05       2.599809097075e+03       1.720490675141e+03       5.603324581712e+03       1.368674895633e+05 
       2.197548598462e-02       1.444771574643e+05       1.203210301821e+05       2.508456062520e+03       1.674819761088e+03       5.500014323180e+03       1.363275945782e+05 
       2.210802857776e-02       1.439527788281e+05       1.196187435415e+05       2.414349292776e+03       1.634735167662e+03       5.398990809020e+03       1.357892887438e+05 
       2.224066314921e-02       1.434298373284e+05       1.189188004916e+05       2.318264444965e+03       1.600183080619e+03       5.300504941988e+03       1.352525418099e+05 
       2.237339155367e-02       1.429083631148e+05       1.182211044774e+05       2.220984477352e+03       1.571039982734e+03       5.204783592135e+03       1.347173770409e+05 
       2.250621569062e-02       1.423883237569e+05       1.175258376463e+05       2.123296683238e+03       1.547105462881e+03       5.112022630500e+03       1.341838094084e+05 
       2.263913750536e-02       1.418697771194e+05       1.168333129698e+05       2.025956765218e+03       1.528142479038e+03       5.022400192310e+03       1.336519467426e+05 
       2.277215899011e-02       1.413526745361e+05       1.161431200964e+05       1.929711596411e+03       1.513847926591e+03       4.936054231823e+03       1.331216968229e+05 
       2.290528218515e-02       1.408369805019e+05       1.154549837361e+05       1.835288672069e+03       1.503864093396e+03       4.853088804947e+03       1.325929981687e+05 
       2.303850917997e-02       1.403226786192e+05       1.147694202229e+05       1.743333747956e+03       1.497822840644e+03       4.773594777761e+03       1.320659263791e+05 
